Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
e-exist,east,exist, 01/01  01:00:00,5.875,33696.00714,19.81482047,21.00039898,20.40760972,147.6356288,0,21.00039898,0.00499136,32.41712537,1,0,0,0,0,0,0,1395452.262,387.6256284,71368.29646
e-exist,east,exist, 01/01  02:00:00,7,33696.00714,19.78775069,21.00035917,20.39405493,147.2921739,0,21.00035917,0.005520102,35.82115268,1,0,0,0,0,0,0,1325137.248,368.0936801,71368.29646
e-exist,east,exist, 01/01  03:00:00,7,14256.00302,19.7361751,21.00067551,20.3684253,156.408655,0,21.00067551,0.005668184,36.77280609,1,0,0,0,0,0,0,1357319.473,377.0331871,71368.29646
e-exist,east,exist, 01/01  04:00:00,7,14256.00302,19.69442128,21.00088891,20.3476551,163.5617135,0,21.00088891,0.005501453,35.70008788,1,0,0,0,0,0,0,1382308.574,383.9746038,71368.29646
e-exist,east,exist, 01/01  05:00:00,6.375,14256.00302,19.62756503,21.00093955,20.31425229,178.5463014,0,21.00093955,0.005273033,34.23021008,1,0,0,0,0,0,0,1474683.962,409.6344339,71368.29646
e-exist,east,exist, 01/01  06:00:00,6,14256.00302,19.57044995,21.00088698,20.28566847,190.8191524,0,21.00088698,0.005183679,33.65508721,1,0,0,0,0,0,0,1542089.201,428.3581115,71368.29646
e-exist,east,exist, 01/01  07:00:00,4.75,53136.01126,19.49330495,21.00096326,20.2471341,213.9549847,0,21.00096326,0.005025453,32.63582439,1,0,0,0,0,0,0,1702197.448,472.8326245,71368.29646
e-exist,east,exist, 01/01  08:00:00,5.25,53136.01126,19.87256858,21.00052322,20.4365459,137.2517394,0,21.00052322,0.004780632,31.07802691,1,0,0,0,0,0,0,1395757.357,387.710377,71368.29646
e-exist,east,exist, 01/01  09:00:00,7.25,72576.01538,20.64528716,20.9999365,20.82261183,0.257229759,33.35188332,20.9999365,0.004826003,31.3835006,0.5,0,0,0,0,0,0,659822.4751,183.2840209,71368.29646
e-exist,east,exist, 01/01  10:00:00,10.5,72576.01538,20.79871769,20.99996849,20.89934309,0,17.91942142,20.99996849,0.004954263,32.23081881,0,0,0,0,0,0,0,513657.1294,142.6825359,71368.29646
