Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
s-clear,south,clear, 11/07  17:00:00,14.375,36288.00769,24.94543234,23.99988964,24.47266099,0,165.5082789,23.99988964,0.007825542,41.90023133,0,0,0,156.9286685,564943.2068,133.4671657,480481.7967,0,0,484173.6449
s-clear,south,clear, 11/07  18:00:00,14,36288.00769,24.80824962,23.99987643,24.40406302,0,164.3754152,23.99987643,0.008115563,43.44919351,0,0,0,152.4040015,548654.4056,125.7756442,452792.3191,0,0,484173.6449
s-clear,south,clear, 11/07  19:00:00,14,86832.0184,24.71163149,23.99989062,24.35576105,0,149.2620463,23.99989062,0.008321801,44.56647032,0,0,0,136.5516254,491585.8514,110.6565854,398363.7074,0,0,484173.6449
s-clear,south,clear, 11/07  20:00:00,14,115344.0244,24.63608836,23.99987856,24.31798346,0,146.5625978,23.99987856,0.008508394,45.56917638,0,0,0,135.2287173,486823.3824,107.9549429,388637.7943,0,0,484173.6449
s-clear,south,clear, 11/07  21:00:00,14,129600.0275,24.59628784,23.99986695,24.2980774,0,157.5105191,23.99986695,0.008645846,46.29529484,0,0,0,150.8789849,543164.3456,118.8967901,428028.4445,0,0,484173.6449
s-clear,south,clear, 11/07  22:00:00,14,115344.0244,24.5548355,23.99985656,24.27734603,0,160.797234,23.99985656,0.008745802,46.82313213,0,0,0,156.336806,562812.5015,122.1811243,439852.0474,0,0,484173.6449
s-clear,south,clear, 11/07  23:00:00,13.375,86832.0184,24.4315683,24.00023851,24.2159034,0,110.4226793,24.00023851,0.008908411,47.68029024,0,0,0,79.16414219,284990.9119,60.95640579,219443.0609,0,0,484173.6449
s-clear,south,clear, 11/07  24:00:00,13,42768.00906,24.30085448,24.00938486,24.15511967,0,72.56482581,24.00938486,0.009136886,48.82798723,0,0,0,20.01594648,72057.40733,15.11774378,54423.8776,0,0,484173.6449
s-clear,south,clear, 11/08  01:00:00,13,28512.00604,24.21112303,24.04264798,24.12688551,0,56.20196644,24.04264798,0.009357961,49.87411211,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  02:00:00,13,22032.00467,24.12842472,23.98328453,24.05585463,0,53.33503521,23.98328453,0.009520829,50.91028212,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  03:00:00,13,14256.00302,24.04253108,23.91452322,23.97852715,0,51.56232456,23.91452322,0.009581097,51.47146674,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  04:00:00,13,14256.00302,23.95286758,23.83705239,23.89495999,0,50.12218912,23.83705239,0.009513987,51.3740681,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  05:00:00,13,14256.00302,23.87330003,23.76838682,23.82084342,0,49.45864897,23.76838682,0.009453705,51.26480413,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  06:00:00,13,28512.00604,23.80635835,23.71501429,23.76068632,0,48.91347332,23.71501429,0.009409427,51.19248788,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  07:00:00,13,57024.01208,23.82619143,23.8675691,23.84688026,0,62.16854919,23.8675691,0.009333631,50.32303182,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  08:00:00,13,72576.01538,24.04901081,23.99707724,24.02304403,0,86.41049899,23.99707724,0.009165978,49.04819557,0,0,0,37.53731003,135134.3161,28.19780642,101512.1031,0,0,484173.6449
s-clear,south,clear, 11/08  09:00:00,13.625,57024.01208,24.74172871,23.99988708,24.37080789,0,150.4991108,23.99988708,0.008868921,47.50215757,0,0,0,137.0146194,493252.6297,105.5404302,379945.5489,0,0,484173.6449
s-clear,south,clear, 11/08  10:00:00,14,57024.01208,24.39179519,24.00038798,24.19609159,0,80.82051639,24.00038798,0.008621527,46.23976843,0,0,0,53.74948461,193498.1446,42.3686736,152527.225,0,0,484173.6449
s-clear,south,clear, 11/08  11:00:00,14,36288.00769,24.24641362,24.0050707,24.12574216,0,38.1374556,24.0050707,0.008489269,45.54403814,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  12:00:00,14,36288.00769,24.20098425,23.97100061,24.08599243,0,36.52857151,23.97100061,0.00827752,44.48641631,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 11/08  13:00:00,14,36288.00769,24.18167954,23.95196415,24.06682185,0,36.78841374,23.95196415,0.008072026,43.42975565,0,0,0,0,0,0,0,0,0,484173.6449
