Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 2 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 2 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2:Surface Inside Face Temperature [C](Hourly),WIN_1_2:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
w-lowe,w,lowe, 07/20  18:00:00,16,0.525,36288.00769,579.7703596,2087173.294,0.89569791,443.9806222,304.6920298,112.2971883,0.743711409,368.8534358,249.8591281,91.57767549,296.3120214,1066723.277,0.711504499,355.5897639,239.0711301,89.11772027,283.4583382,1020450.018,2153.80017,11.56752683,1863.32948,0,26.24972947,28.94083359,0,28.70301271,0,23.99972108,25.15778721,8.096708767,0,1,14.8,22.388,0,0,0,424386.7498,767615.8559
w-lowe,w,lowe, 07/20  19:00:00,15.375,0.525,86832.0184,166.4709859,599295.5492,0.951654925,165.6718035,51.8749354,104.9584871,0.919674886,153.7960783,48.9196564,95.73648293,85.03896189,306140.2628,0.893879359,149.9358138,47.2379426,93.56907939,81.432024,293155.2864,487.8677713,7.020566258,393.741162,0,25.96288692,24.51269642,0,24.43621467,0,23.99977818,24.90837111,7.273343093,0.5,1,14.8,22.388,0,0,0,424386.7498,593926.0046
w-lowe,w,lowe, 07/20  20:00:00,14.375,0.75,115344.0244,0,0,0,2.239848869,0,1.675445502,0,1.780129549,0,1.192874087,0,0,0,1.77975514,0,1.193344414,0,0,20.21950307,0,15.91771421,0,25.18563576,20.90347167,0,20.90343881,0,23.99980785,24.5718287,6.474391352,1,1,14.8,22.388,0,0,0,424386.7498,382331.0048
w-lowe,w,lowe, 07/20  21:00:00,14,0.75,129600.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.53100419,20.64292323,0,20.64289826,0,23.99981315,24.44495501,6.280315828,1,1,14.8,22.388,0,0,0,424386.7498,325355.9805
w-lowe,w,lowe, 07/20  22:00:00,14,0.87,115344.0244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.17624409,20.60402844,0,20.60400264,0,23.99980894,24.37494384,6.205886683,1,1,14.8,22.388,0,0,0,424386.7498,305066.5987
w-lowe,w,lowe, 07/20  23:00:00,14,0.975,86832.0184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9373018,20.4987281,0,20.49870286,0,23.99981699,24.29582556,6.12893075,1,1,14.8,22.388,0,0,0,424386.7498,215878.5939
w-lowe,w,lowe, 07/20  24:00:00,14,0.975,42768.00906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.74905988,20.39086843,0,20.39084414,0,23.99984382,24.22063568,6.068066537,1,1,14.8,22.388,0,0,0,424386.7498,150670.0464
w-lowe,w,lowe, 07/21  01:00:00,14,0.975,28512.00604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.62378536,20.32452764,0,20.32450373,0,23.99986764,24.16350171,6.033374109,1,1,14.8,22.388,0,0,0,424386.7498,121885.3464
w-lowe,w,lowe, 07/21  02:00:00,14,0.975,22032.00467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5359044,20.28017562,0,20.28015173,0,24.00027987,24.11704318,6.006265745,1,1,14.8,22.388,0,0,0,424386.7498,99450.98137
w-lowe,w,lowe, 07/21  03:00:00,14,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.46551519,20.2648339,0,20.26480906,0,24.00049918,24.07680658,5.983147452,1,1,14.8,22.388,0,0,0,424386.7498,80953.57689
w-lowe,w,lowe, 07/21  04:00:00,13.375,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.40221141,19.97482803,0,19.97478861,0,24.00897121,24.03645851,5.962279439,1,1,14.8,22.388,0,0,0,424386.7498,36912.63998
w-lowe,w,lowe, 07/21  05:00:00,13,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.32994265,19.81672614,0,19.81668955,0,24.06153497,24.02593385,6.007387623,1,1,14.8,22.388,0,0,0,424386.7498,0
w-lowe,w,lowe, 07/21  06:00:00,13,0.975,28512.00604,0,0,0,11.57621214,0,9.176231019,0,9.218604819,0,6.723827532,0,0,0,9.23824179,0,6.726061861,0,0,50.7643976,0,41.43017148,0,23.27308708,20.01619563,0,20.01656051,0,24.05716243,24.01111514,6.003169956,1,1,14.8,22.388,0,0,0,424386.7498,0
w-lowe,w,lowe, 07/21  07:00:00,13.625,0.75,57024.01208,0,0,0,39.75147467,0,30.41033239,0,31.4282892,0,21.72858589,0,0,0,31.60849608,0,21.73698421,0,0,225.1057167,1.543187902,185.566727,0,23.3533241,20.74523425,0,20.74886408,0,24.01205637,24.05028265,6.056114707,1,1,14.8,22.388,0,0,0,424386.7498,124202.4315
w-lowe,w,lowe, 07/21  08:00:00,14,0.42,72576.01538,18.51172178,66642.1984,0,85.12401251,0,62.27561832,0,70.4463533,0,46.48755723,8.798666948,31675.20101,0,71.60927898,0,46.50118746,9.71305483,34966.99739,515.6513923,6.235385922,431.4852767,0,23.58767592,21.72055383,0,21.74393086,0,24.00038429,24.15933887,6.173169983,1,1,14.8,22.388,0,0,0,424386.7498,215193.6197
w-lowe,w,lowe, 07/21  09:00:00,14,0.42,57024.01208,58.46873465,210487.4447,0,115.1355594,0,83.50493722,0,94.68836854,0,61.58877903,28.63346974,103080.4911,0,95.93694695,0,61.60839291,29.83526491,107406.9537,644.0574967,6.818802971,540.6485859,0,23.78160749,22.1483956,0,22.17450403,0,23.99999274,24.21346442,6.200048442,1,1,14.8,22.388,0,0,0,424386.7498,157484.8158
w-lowe,w,lowe, 07/21  10:00:00,15.25,0.195,57024.01208,119.080593,428690.1349,0,135.2863563,0,87.14516478,0,117.2758852,0,69.00937421,57.3985038,206634.6137,0,121.7735633,0,69.02135495,61.68208922,222055.5212,887.165904,8.396837307,756.7097495,0,23.96677989,23.1818586,0,23.27450238,0,24.00000179,24.30140094,6.305710651,1,1,14.8,22.388,0,0,0,424386.7498,213882.2527
w-lowe,w,lowe, 07/21  11:00:00,16,0.195,36288.00769,121.8180745,438545.0683,0,119.9845667,0,54.2776516,0,113.6680807,0,46.58118403,57.41449373,206692.1774,0,121.0049903,0,46.58219498,64.4035808,231852.8909,972.5541401,7.89816872,856.041559,0,24.14622957,23.40751134,0,23.55995608,0,24.00000583,24.33731303,6.297647023,1,1,14.8,22.388,0,0,0,424386.7498,217287.3976
w-lowe,w,lowe, 07/21  12:00:00,16,0.195,36288.00769,111.7736147,402385.013,0.166341896,119.5177706,8.233353729,36.15116334,0,110.8446038,0,28.60313894,53.87877191,193963.5789,0.002205572,115.0958209,0.030213272,28.60870778,57.8948428,208421.4341,954.0429277,6.96031659,852.4989001,0,24.25331458,23.31248089,0,23.39891543,0,23.99999613,24.35170096,6.27214978,1,1,14.8,22.388,0,0,0,424386.7498,221383.6956
w-lowe,w,lowe, 07/21  13:00:00,16.625,0.195,36288.00769,144.4478757,520012.3525,0.143049745,159.1315433,27.65659419,46.83994782,0,126.8601314,0,36.14273712,71.79283894,258454.2202,0,127.8025183,0,36.14467611,72.65503676,261558.1323,1129.910686,8.348205492,984.5122866,0,24.32516153,23.8921809,0,23.9114935,0,23.99998991,24.40002284,6.328553349,1,1,14.8,22.388,0,0,0,424386.7498,257334.5123
w-lowe,w,lowe, 07/21  14:00:00,17.625,0.195,36288.00769,173.5360173,624729.6624,0.100526645,185.7356984,33.40677374,67.50277792,0,138.4090797,0,51.51245511,86.79614393,312466.1182,0,138.3496093,0,51.51304668,86.73987339,312263.5442,1492.456605,10.54230034,1249.146901,0,24.47386118,24.54364968,0,24.542399,0,23.99998114,24.46280415,6.420406558,1,1,14.8,22.388,0,0,0,424386.7498,307522.7231
w-lowe,w,lowe, 07/21  15:00:00,17.375,0.195,36288.00769,222.5056325,801020.277,0.565867253,432.9365206,247.4261821,106.8277364,0.070705849,166.8744945,31.56807261,55.93579252,111.2649675,400553.8832,0.070705849,166.8498832,31.56807261,55.93661448,111.240665,400466.3938,1792.012671,11.218383,1509.403506,0,24.7120462,25.04460994,0,25.04404419,0,23.99997441,24.54127996,6.562904214,1,1,14.8,22.388,0,0,0,424386.7498,343244.0759
w-lowe,w,lowe, 07/21  16:00:00,17,0.3,36288.00769,456.2509099,1642503.276,0.743345855,523.5847998,331.3641469,131.2580629,0.332116926,292.5496296,148.3038935,82.64015088,228.3713817,822136.974,0.331233127,292.0443242,147.9022958,82.5602118,227.8795283,820366.3017,2366.584306,12.21114333,2000.597194,0,25.33953087,27.44953078,0,27.44024868,0,23.99993108,24.81035531,7.193235116,0.75,1,14.8,22.388,0,0,0,424386.7498,510678.9664
w-lowe,w,lowe, 07/21  17:00:00,17,0.525,36288.00769,632.1146235,2275612.645,0.833481079,544.709434,373.964918,125.9754478,0.550793268,384.1792496,246.5042798,92.40203529,320.144577,1152520.477,0.535188414,375.8970744,239.5805993,91.06216618,311.9700465,1123092.167,2634.171456,12.34566362,2254.094336,0,25.94048447,29.48241152,0,29.33035992,0,23.99980905,25.06960624,7.886257913,0,1,14.8,22.388,0,0,0,424386.7498,695168.5498
