Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2:Surface Inside Face Temperature [C](Hourly),WIN_1_2:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
A1Wexist,W,Exist, 01/01  01:00:00,14.875,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9392318,17.27250377,0,17.27250377,0,23.94014236,23.8840957,5.977267144,1,1,13,21.83,0,0,0,254853.4036,14784.48403
A1Wexist,W,Exist, 01/01  02:00:00,12.375,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.73280018,15.66865898,0,15.66865898,0,23.55083827,23.56521232,5.415991694,1,1,13,21.83,0,10658.17262,0,254853.4036,0
A1Wexist,W,Exist, 01/01  03:00:00,12,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48473855,15.3869443,0,15.3869443,0,23.27668704,23.32002544,5.137314727,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/01  04:00:00,12,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25812399,15.43656536,0,15.43656536,0,23.11858773,23.1549925,5.037437845,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/01  05:00:00,12.625,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.06426381,16.06385132,0,16.06385132,0,23.05781482,23.06763935,5.0107462,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/01  06:00:00,13,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.91548933,16.20746365,0,16.20746365,0,23.03394028,23.00689746,5.004742768,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/01  07:00:00,13,0.75,55969.9173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.80036497,16.25140171,0,16.25140171,0,22.95125479,22.92264179,5.000821707,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/01  08:00:00,13,0.51,55969.9173,0,0,0,7.803270225,0,6.407691145,0,7.817143991,0,6.407696298,0,0,0,7.834499129,0,6.407696298,0,0,58.05074181,0,22.7733818,16.45187453,0,16.45201063,0,23.06724252,22.98145579,5.003561835,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/01  09:00:00,13.625,0.51,76446.71631,0,0,0,38.09396519,0,30.79277899,0,38.1563535,0,30.79280376,0,0,0,38.31728148,0,30.79280376,0,0,301.0954333,0,22.97169625,17.20050276,0,17.20180385,0,23.48549914,23.31843167,5.191653812,1,1,13,21.83,0,0,0,254853.4036,18030.74151
A1Wexist,W,Exist, 01/01  10:00:00,14.625,0.3,76446.71631,18.00526932,64818.96956,0,52.30885089,0,42.69833632,0,52.44251164,0,42.69837066,8.967092948,32281.53461,0,52.51031897,0,42.69837066,9.038176374,32537.43495,427.4699438,0,23.16677149,18.02969916,0,18.03024803,0,23.6690042,23.52478154,5.428478358,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/01  11:00:00,15.625,0.3,55969.9173,120.7206387,434594.2992,0,89.61080637,0,72.03119284,0,89.8513978,0,72.03125077,60.22249513,216800.9825,0,90.01862824,0,72.03125077,60.49814355,217793.3168,762.2546208,0,23.39107914,18.76968415,0,18.77098032,0,23.76504019,23.73153463,5.788770211,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/01  12:00:00,17.875,0.3,45048.95782,57.19854983,205914.7794,0,59.31195398,0,48.7958078,0,59.47608562,0,48.79584704,28.57901151,102884.4415,0,59.50095663,0,48.79584704,28.61953832,103030.3379,531.4272629,0,23.51101712,19.80276594,0,19.80293056,0,23.95634579,23.88463741,6.228470314,1,1,13,21.83,0,0,0,254853.4036,34147.10738
A1Wexist,W,Exist, 01/01  13:00:00,20.25,0.3,45048.95782,164.2745166,591388.2596,0.749999397,78.72296613,0,64.75314845,0.75,78.94315198,0,64.75320053,82.12059436,295634.1397,0.75,78.96378808,0,64.75320053,82.1539222,295754.1199,755.0168176,0,23.73157693,21.54856321,0,21.54868416,0,23.99965035,24.05587396,6.655383593,1,1,13,21.83,0,0,0,254853.4036,172484.3422
A1Wexist,W,Exist, 01/01  14:00:00,21.625,0.3,45048.95782,116.5615834,419621.7003,0.999999196,55.06153631,0,45.54099069,1,55.21159592,0,45.54102732,58.26944757,209770.0112,1,55.22565958,0,45.54102732,58.29213586,209851.6891,550.2420337,0,23.8701793,22.44186091,0,22.44194363,0,23.99997093,24.11379545,6.724455093,1,1,13,21.83,0,0,0,254853.4036,235738.7187
A1Wexist,W,Exist, 01/01  15:00:00,22.625,0.3,45048.95782,290.9153327,1047295.198,0.999999196,105.4007238,27.10916536,65.41055144,1,105.5683048,27.10918716,65.41060404,145.4449997,523601.9988,1,105.5840074,27.10918716,65.41060404,145.470333,523693.1988,985.3348235,0,24.09720416,23.55451897,0,23.55461655,0,23.99994453,24.2638151,7.007941886,0.75,1,13,21.83,0,0,0,254853.4036,331697.8073
A1Wexist,W,Exist, 01/01  16:00:00,23,0.3,45048.95782,829.1510708,2984943.855,0.999999196,272.7654062,131.7040562,121.3917273,1,272.9608427,131.7041621,121.391825,414.5606843,1492418.464,1,272.9791445,131.7041621,121.391825,414.5903865,1492525.391,2011.527436,0,24.8835962,25.23557991,0,25.23569962,0,23.99954269,24.78342594,8.207190252,0,1,13,21.83,0,0,0,254853.4036,690690.241
A1Wexist,W,Exist, 01/01  17:00:00,23,0.3,45048.95782,82.5546801,297196.8484,0.999999196,37.9948145,12.63649595,21.69743886,1,38.04561504,12.63650612,21.69745631,41.27397069,148586.2945,1,38.05037467,12.63650612,21.69745631,41.28070941,148610.5539,327.1822623,0,24.8185942,23.69645363,0,23.69648809,0,23.99974046,24.53568374,7.191014448,0,1,13,21.83,0,0,0,254853.4036,508562.1988
A1Wexist,W,Exist, 01/01  18:00:00,21.75,0.51,45048.95782,0,0,0.749999397,1.915923885,0,1.574103235,0.75,1.921311496,0,1.574104501,0,0,0.75,1.921816431,0,1.574104501,0,0,12.95432593,0,24.59795749,22.35349402,0,22.3534974,0,23.99987125,24.32941629,6.723045475,0.5,1,13,21.83,0,0,0,254853.4036,381583.2476
A1Wexist,W,Exist, 01/01  19:00:00,19.75,0.525,116035.1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.51675406,20.49671072,0,20.49671072,0,23.99989088,24.21859387,6.568112812,1,1,13,21.83,0,0,0,254853.4036,295148.0688
A1Wexist,W,Exist, 01/01  20:00:00,18.375,0.975,136511.9934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.45520542,19.43683989,0,19.43683989,0,23.99985822,24.15359378,6.516128887,1,1,13,21.83,0,0,0,254853.4036,264887.8551
A1Wexist,W,Exist, 01/01  21:00:00,16.125,0.975,136511.9934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3987508,18.16479948,0,18.16479948,0,23.99983048,24.09890461,6.450518511,1,1,13,21.83,0,0,0,254853.4036,216477.8376
A1Wexist,W,Exist, 01/01  22:00:00,16.875,0.75,136511.9934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.33227749,18.71835924,0,18.71835924,0,23.99987224,24.08595937,6.436275145,1,1,13,21.83,0,0,0,254853.4036,215079.916
A1Wexist,W,Exist, 01/01  23:00:00,18,0.75,116035.1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.22457518,19.19514204,0,19.19514204,0,23.99991899,24.05960356,6.359819736,1,1,13,21.83,0,0,0,254853.4036,154057.6182
A1Wexist,W,Exist, 01/01  24:00:00,18,0.75,55969.9173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08099927,19.11776891,0,19.11776891,0,23.99997686,24.007345,6.22443704,1,1,13,21.83,0,0,0,254853.4036,91540.32965
A1Wexist,W,Exist, 01/02  01:00:00,16.125,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.95017236,17.88969255,0,17.88969255,0,24.0001961,23.93293206,6.071377834,1,1,13,21.83,0,0,0,254853.4036,29564.53546
A1Wexist,W,Exist, 01/02  02:00:00,15.625,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.81330355,17.26759013,0,17.26759013,0,23.93195084,23.82915062,5.86397975,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/02  03:00:00,15.375,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.67895437,16.88491833,0,16.88491833,0,23.840268,23.72016906,5.539114881,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/02  04:00:00,13.75,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.49231592,15.59898555,0,15.59898555,0,23.49303006,23.44398114,5.115813814,1,1,13,21.83,0,7918.393085,0,254853.4036,0
A1Wexist,W,Exist, 01/02  05:00:00,11.75,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.23537634,13.88815016,0,13.88815016,0,23.05172445,23.07797924,5.054272032,1,1,13,21.83,0,17616.9918,0,254853.4036,0
A1Wexist,W,Exist, 01/02  06:00:00,9.75,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9122457,12.6256185,0,12.6256185,0,22.59022492,22.68371265,5.517588822,1,1,13,21.83,0,17448.01943,0,254853.4036,0
A1Wexist,W,Exist, 01/02  07:00:00,8.375,0.75,55969.9173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.57299729,11.4532709,0,11.4532709,0,22.17256972,22.31111622,6.506207933,1,1,13,21.83,0,15917.31255,0,254853.4036,0
A1Wexist,W,Exist, 01/02  08:00:00,6.75,0.51,55969.9173,0,0,0,7.920425909,0,6.415845879,0,7.884481264,0,6.415851039,0,0,0,7.999031074,0,6.415851039,0,0,74.10991375,0,22.25499967,9.916775277,0,9.917356217,0,21.82077888,21.97992826,7.899199961,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/02  09:00:00,6.625,0.51,76446.71631,0,0,0,42.81367263,0,30.53238156,0,42.48756832,0,30.53240611,0,0,0,44.08995218,0,30.53240611,0,0,410.9773066,0,22.11720581,10.00305219,0,10.0114845,0,21.84591033,21.97751462,8.27399275,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/02  10:00:00,7.625,0.3,76446.71631,0,0,0,63.79440077,0,39.23102762,0,63.07054664,0,39.23105917,0,0,0,66.47997604,0,39.23105917,0,0,579.2021287,0,22.0601293,10.98977904,0,11.00856056,0,21.8383689,22.00784873,8.535243231,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/02  11:00:00,8.625,0.3,55969.9173,0,0,0,87.84127187,0,48.38126869,0,87.46636635,0,48.3813076,0,0,0,91.56308757,0,48.3813076,0,0,757.8841311,0,21.99609845,11.85007443,0,11.87270181,0,21.80553671,22.02466488,8.8177317,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/02  12:00:00,9,0.3,45048.95782,3.618775416,13027.5915,0,101.7708938,0,47.02448973,0,102.1851944,0,47.02452755,1.311818539,4722.54674,0,104.360993,0,47.02452755,2.306956877,8305.044756,837.7690461,0,22.00556632,12.19068508,0,12.20214711,0,21.89302995,22.10806199,8.720149679,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/02  13:00:00,10.25,0.3,45048.95782,78.66348873,283188.5594,0.749999397,159.9992193,49.46221272,49.91455647,0.75,160.3236554,49.46225251,49.91459662,39.11010912,140796.3928,0.75,160.5978912,49.46225251,49.91459662,39.55337961,142392.1666,1005.313136,0,22.10335963,13.36115486,0,13.36270414,0,22.11048865,22.31132099,8.137880951,1,1,13,21.83,0,0,0,254853.4036,0
A1Wexist,W,Exist, 01/02  14:00:00,11.625,0.3,45048.95782,629.1057972,2264780.87,0.999999196,369.8382456,233.7408121,78.78108094,1,369.9883433,233.7410001,78.7811443,314.5415202,1132349.473,1,370.0023904,233.7410001,78.7811443,314.564277,1132431.397,1823.402337,0,22.75003035,15.94334121,0,15.94342442,0,23.047954,23.29050896,5.789761046,1,1,13,21.83,0,4633.894606,0,254853.4036,19513.50824
A1Wexist,W,Exist, 01/02  15:00:00,12.625,0.3,45048.95782,1321.838341,4758618.028,0.999999196,551.496142,424.57389,77.79869687,1,551.604008,424.5742314,77.79875944,660.9110291,2379279.705,1,551.6140819,424.5742314,77.79875944,660.9273119,2379338.323,2628.156325,0,24.25038387,18.02719718,0,18.02725429,0,23.98495306,24.67335547,5.468705565,0.25,1,13,21.83,0,0,0,254853.4036,378816.1502
A1Wexist,W,Exist, 01/02  16:00:00,12.375,0.3,45048.95782,1725.478277,6211721.797,0.999999196,641.3975871,521.8561024,85.49022761,1,641.4850518,521.8565221,85.49029637,862.7325421,3105837.152,1,641.4932052,521.8565221,85.49029637,862.7457348,3105884.645,3077.908177,0,25.61642629,18.83961515,0,18.8396625,0,24.00005688,25.39322878,6.725072966,0,0.25,13,21.83,0,0,0,254853.4036,845586.4598
