Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2:Surface Inside Face Temperature [C](Hourly),WIN_1_2:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
C3Wclear,W,Clear, 01/01  01:00:00,14.875,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.09904604,20.56079787,0,20.56079787,0,23.84203137,23.98925249,6.073048252,1,1,13,21.83,0,7902.833467,0,232973.2739,5319.246536
C3Wclear,W,Clear, 01/01  02:00:00,12.375,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8862719,19.55969819,0,19.55969819,0,23.39121916,23.65349733,5.390618019,1,1,13,21.83,0,8640.582655,0,232973.2739,0
C3Wclear,W,Clear, 01/01  03:00:00,12,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6375927,19.27915303,0,19.27915303,0,23.1355108,23.42071184,5.115079321,1,1,13,21.83,0,0,0,232973.2739,0
C3Wclear,W,Clear, 01/01  04:00:00,12,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.41903216,19.19649959,0,19.19649959,0,22.98017726,23.25836445,5.022614995,1,1,13,21.83,0,0,0,232973.2739,0
C3Wclear,W,Clear, 01/01  05:00:00,12.625,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.23193187,19.41007356,0,19.41007356,0,22.9114306,23.15987999,5.001743937,1,1,13,21.83,0,0,0,232973.2739,0
C3Wclear,W,Clear, 01/01  06:00:00,13,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.09159353,19.47584929,0,19.47584929,0,22.87362227,23.09192387,5.000580691,1,1,13,21.83,0,0,0,232973.2739,0
C3Wclear,W,Clear, 01/01  07:00:00,13,0.75,55969.9173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.98352564,19.44642533,0,19.44642533,0,22.79577954,23.01127785,5.00678632,1,1,13,21.83,0,0,0,232973.2739,0
C3Wclear,W,Clear, 01/01  08:00:00,13,0.51,55969.9173,0,0,0,7.801074577,0,6.407691145,0,7.818811806,0,6.407696298,0,0,0,7.833426224,0,6.407696298,0,0,49.23129686,0,22.95143926,19.6051004,0,19.60531809,0,22.87325575,23.04716816,5.0024538,1,1,13,21.83,0,0,0,232973.2739,0
C3Wclear,W,Clear, 01/01  09:00:00,13.625,0.51,76446.71631,1.52740067,5498.642413,0,38.06987958,0,30.79277899,0,38.13955802,0,30.79280376,0.6856553,2468.359081,0,38.28323879,0,30.79280376,0.84174537,3030.283332,253.4010918,0,23.10929691,20.43833997,0,20.44050492,0,23.24235627,23.34183813,5.102166232,1,1,13,21.83,0,0,0,232973.2739,9634.790434
C3Wclear,W,Clear, 01/01  10:00:00,14.625,0.3,76446.71631,40.25519797,144918.7127,0,52.30253,0,42.69833632,0,52.45428437,0,42.69837066,20.0966337,72347.88131,0,52.50115978,0,42.69837066,20.15856427,72570.83137,363.2865276,0,23.25888775,21.12703157,0,21.12774103,0,23.38910228,23.50864978,5.267085226,1,1,13,21.83,0,0,0,232973.2739,0
C3Wclear,W,Clear, 01/01  11:00:00,15.625,0.3,55969.9173,143.3413505,516028.8619,0,89.5681826,0,72.03119284,0,89.80953876,0,72.03125077,71.56931877,257649.5476,0,89.96411998,0,72.03125077,71.77203175,258379.3143,640.0076799,0,23.42224553,22.04948063,0,22.05176492,0,23.52290856,23.69565475,5.59838349,1,1,13,21.83,0,0,0,232973.2739,0
C3Wclear,W,Clear, 01/01  12:00:00,17.875,0.3,45048.95782,84.54177825,304350.4017,0,59.3188314,0,48.7958078,0,59.49450641,0,48.79584704,42.26343439,152148.3638,0,59.50593661,0,48.79584704,42.27834386,152202.0379,452.4089436,0,23.52231837,22.39207265,0,22.39223317,0,23.79784175,23.87181209,6.160576863,1,1,13,21.83,0,0,0,232973.2739,0
C3Wclear,W,Clear, 01/01  13:00:00,20.25,0.3,45048.95782,156.0534175,561792.3031,0.249999799,78.17918332,0,64.19215353,0.25,78.42050542,0,64.19220516,78.02829086,280901.8471,0.25,78.4180466,0,64.19220516,78.02512666,280890.456,635.1436978,0,23.74680849,23.66182082,0,23.66178697,0,23.99826134,24.10359715,6.899413659,1,1,13,21.83,0,0,0,232973.2739,140707.4995
C3Wclear,W,Clear, 01/01  14:00:00,21.625,0.3,45048.95782,110.7262647,398614.5529,0.999999196,54.89731383,0,45.36503802,1,55.06177813,0,45.3650745,55.36420887,199311.1519,1,55.06010242,0,45.3650745,55.36205582,199303.401,466.5810045,0,23.88585178,23.94838788,0,23.94836403,0,23.99995329,24.14943082,6.98530908,1,1,13,21.83,0,0,0,232973.2739,217467.324
C3Wclear,W,Clear, 01/01  15:00:00,22.625,0.3,45048.95782,225.5563665,812002.9192,0.999999196,99.43191477,23.33864133,63.19916917,1,99.61557445,23.3386601,63.19922,112.7793873,406005.7943,1,99.61370346,23.3386601,63.19922,112.7769791,405997.1249,798.4622118,0,24.07251822,24.99984984,0,24.99982443,0,23.99993682,24.26151932,7.198943624,0.75,1,13,21.83,0,0,0,232973.2739,311827.6981
C3Wclear,W,Clear, 01/01  16:00:00,23,0.3,45048.95782,623.3693872,2244129.794,0.999999196,251.9900627,117.7658305,114.5393444,1,252.2042283,117.7659252,114.5394365,311.6861125,1122070.005,1,252.2020476,117.7659252,114.5394365,311.6832747,1122059.789,1595.816266,0,24.66830274,27.58364539,0,27.58361719,0,23.99963505,24.6594588,8.114260515,0,1,13,21.83,0,0,0,232973.2739,607122.5493
C3Wclear,W,Clear, 01/01  17:00:00,23,0.3,45048.95782,74.74993842,269099.7783,0.999999196,36.42464871,11.58546234,21.1743368,1,36.48032308,11.58547166,21.17435383,37.37533798,134551.2167,1,36.47975597,11.58547166,21.17435383,37.37460044,134548.5616,271.666169,0,24.66340564,24.66471708,0,24.66470882,0,23.99982251,24.4657992,7.386358072,0,1,13,21.83,0,0,0,232973.2739,464717.805
C3Wclear,W,Clear, 01/01  18:00:00,21.75,0.51,45048.95782,0,0,0.749999397,1.916345039,0,1.574103235,0.75,1.922249835,0,1.574104501,0,0,0.75,1.922189671,0,1.574104501,0,0,11.20230271,0,24.52413797,23.47580036,0,23.47579946,0,23.99990239,24.31630339,7.123830776,0.75,1,13,21.83,0,0,0,232973.2739,365759.2691
C3Wclear,W,Clear, 01/01  19:00:00,19.75,0.525,116035.1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.49775203,22.43982595,0,22.43982595,0,23.99989582,24.25312122,7.092477048,1,1,13,21.83,0,0,0,232973.2739,278382.3287
C3Wclear,W,Clear, 01/01  20:00:00,18.375,0.975,136511.9934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.48017429,21.76604611,0,21.76604611,0,23.99981347,24.21927682,7.055366132,1,1,13,21.83,0,0,0,232973.2739,243448.8702
C3Wclear,W,Clear, 01/01  21:00:00,16.125,0.975,136511.9934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.46014197,20.99744338,0,20.99744338,0,23.9997383,24.19428891,6.967362043,1,1,13,21.83,0,0,0,232973.2739,171259.2782
C3Wclear,W,Clear, 01/01  22:00:00,16.875,0.75,136511.9934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.42360572,21.35641193,0,21.35641193,0,23.9997859,24.19282683,6.900650249,1,1,13,21.83,0,0,0,232973.2739,183996.2355
C3Wclear,W,Clear, 01/01  23:00:00,18,0.75,116035.1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3335466,21.68398398,0,21.68398398,0,23.99984609,24.17247359,6.741501318,1,1,13,21.83,0,0,0,232973.2739,134392.6894
C3Wclear,W,Clear, 01/01  24:00:00,18,0.75,55969.9173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.21156293,21.61309614,0,21.61309614,0,23.99991236,24.13109782,6.51215781,1,1,13,21.83,0,0,0,232973.2739,68577.40811
C3Wclear,W,Clear, 01/02  01:00:00,16.125,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.11217677,20.90436701,0,20.90436701,0,23.94872307,24.05678807,6.23993022,1,1,13,21.83,0,0,0,232973.2739,10773.5129
C3Wclear,W,Clear, 01/02  02:00:00,15.625,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.98529592,20.55047926,0,20.55047926,0,23.78748568,23.91866907,5.825929082,1,1,13,21.83,0,0,0,232973.2739,0
C3Wclear,W,Clear, 01/02  03:00:00,15.375,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.86877984,20.3562706,0,20.3562706,0,23.70588342,23.83079628,5.401086101,1,1,13,21.83,0,0,0,232973.2739,0
