Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 2 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 2 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2:Surface Inside Face Temperature [C](Hourly),WIN_1_2:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
n-exist,n,exist, 04/07  05:00:00,6.625,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04538492,8.510829204,0,8.510795228,0,21.00022968,20.2625201,18.03732175,1,1,11.4,21.334,0,1149641.63,0,262873.8396,0
n-exist,n,exist, 04/07  06:00:00,7.625,0.975,28512.00604,0,0,0,1.837975419,0,1.417861036,0,1.406166654,0,0.968696822,0,0,0,1.405993619,0,0.96916794,0,0,16.06732208,0,12.99586578,0,19.08801673,11.45151442,0,11.4514542,0,21.00013825,20.34730222,17.31484054,1,1,11.4,21.334,0,923389.7219,0,262873.8396,0
n-exist,n,exist, 04/07  07:00:00,8,0.75,57024.01208,0,0,0,20.89043981,0,16.16686015,0,15.99364824,0,11.06439914,0,0,0,15.98070745,0,11.06973684,0,0,177.2064462,1.566506279,143.7828011,0,19.30062916,12.2205336,0,12.2203679,0,21.00007529,20.43729858,16.58416802,1,1,11.4,21.334,0,680169.079,0,262873.8396,0
n-exist,n,exist, 04/07  08:00:00,8.625,0.42,72576.01538,0,0,0,49.59838823,0,38.21433563,0,38.17300681,0,26.28521211,0,0,0,38.1313059,0,26.29759283,0,0,406.012918,5.899600092,331.1220444,0,19.59897566,12.75716167,0,12.75678765,0,21.00002229,20.56319433,15.77340831,1,1,11.4,21.334,0,464358.1081,0,262873.8396,0
n-exist,n,exist, 04/07  09:00:00,9,0.42,57024.01208,0,0,0,58.58220313,0,45.57783089,0,44.95674898,0,31.41720664,0,0,0,44.95439257,0,31.4318527,0,0,455.5075569,6.204579403,372.7586096,0,19.79071453,12.72922384,0,12.72914488,0,21.00002527,20.60471033,15.4531637,1,1,11.4,21.334,0,564178.5137,0,262873.8396,0
n-exist,n,exist, 04/07  10:00:00,9.625,0.195,57024.01208,0,0,0,69.92685822,0,54.47646075,0,53.76567833,0,37.68453859,0,0,0,53.76802365,0,37.70180501,0,0,526.9418653,6.699940713,432.4296046,0,19.91885536,13.03461672,0,13.03457916,0,21.00001087,20.65923996,15.07932304,1,1,11.4,21.334,0,522776.1669,0,262873.8396,0
n-exist,n,exist, 04/07  11:00:00,10.625,0.195,36288.00769,1.696830236,6108.588848,0,88.2742087,0,68.54591609,0,68.1445852,0,47.60770113,0.848037275,3052.93419,0,68.14677427,0,47.62908544,0.84879296,3055.654657,647.5772661,7.560961464,532.9355006,0,20.06444719,13.78501662,0,13.78497944,0,20.99999421,20.74427957,14.48465401,1,1,11.4,21.334,0,443056.7435,0,262873.8396,0
n-exist,n,exist, 04/07  12:00:00,11,0.195,36288.00769,18.16119212,65380.29163,0,88.39956479,0,67.72784871,0,69.50560576,0,48.03759478,9.01212469,32443.64888,0,69.5973,0,48.05693498,9.149067429,32936.64275,649.9503973,7.380825182,536.5710964,0,20.21937477,13.98507699,0,13.9855396,0,20.99999797,20.79804963,14.09675341,1,1,11.4,21.334,0,380897.9232,0,262873.8396,0
n-exist,n,exist, 04/07  13:00:00,11,0.195,36288.00769,106.8099125,384515.6852,0,127.1644843,0,94.42347315,0,102.0595667,0,68.30282194,52.94483955,190601.4224,0,102.620449,0,68.32740015,53.86507299,193914.2628,903.8933318,8.452862433,753.9143671,0,20.47006422,14.2308161,0,14.23417338,0,20.99999809,20.94436708,13.24330856,1,1,11.4,21.334,0,285132.9723,0,262873.8396,0
n-exist,n,exist, 04/07  14:00:00,11,0.195,36288.00769,8.636307785,31090.70803,0,89.19517633,0,68.7553648,0,69.45453033,0,48.22599277,4.263072094,15347.05954,0,69.55746659,0,48.24659496,4.373235691,15743.64849,730.571161,7.944311456,597.4097185,0,20.5927125,14.12248928,0,14.12317412,0,21.00000047,20.94598576,13.19823728,1,1,11.4,21.334,0,281677.8552,0,262873.8396,0
