Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 2 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 2 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2:Surface Inside Face Temperature [C](Hourly),WIN_1_2:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
n-lowe,n,lowe, 01/01  01:00:00,5.875,0.975,33696.00714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.50946927,14.80416519,0,14.80408977,0,21.00002974,20.69240953,16.3015935,1,1,10.5,21.055,0,611097.0092,0,210244.6972,0
n-lowe,n,lowe, 01/01  02:00:00,7,0.975,33696.00714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.48084351,15.16637886,0,15.16631165,0,21.0000097,20.68033885,16.05926527,1,1,10.5,21.055,0,558289.8231,0,210244.6972,0
n-lowe,n,lowe, 01/01  03:00:00,7,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.51219271,15.1483125,0,15.14824471,0,21.00004796,20.65981714,15.99970969,1,1,10.5,21.055,0,579177.06,0,210244.6972,0
n-lowe,n,lowe, 01/01  04:00:00,7,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.51540385,15.13744837,0,15.1373782,0,21.00008603,20.64267925,16.12314615,1,1,10.5,21.055,0,595702.2134,0,210244.6972,0
n-lowe,n,lowe, 01/01  05:00:00,6.375,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.49654411,14.87106093,0,14.87098505,0,21.0001053,20.61873029,16.39501127,1,1,10.5,21.055,0,656511.5514,0,210244.6972,0
n-lowe,n,lowe, 01/01  06:00:00,6,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.44571554,14.70816153,0,14.70808297,0,21.0001111,20.59639505,16.62384041,1,1,10.5,21.055,0,702451.5354,0,210244.6972,0
n-lowe,n,lowe, 01/01  07:00:00,4.75,0.75,53136.01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.40042855,14.21394733,0,14.21387073,0,21.00013319,20.5743859,16.91891223,1,1,10.5,21.055,0,807054.2169,0,210244.6972,0
n-lowe,n,lowe, 01/01  08:00:00,5.25,0.51,53136.01126,0,0,0,6.058606104,0,4.743960557,0,5.522236509,0,4.058821909,0,0,0,5.37670501,0,4.05893259,0,0,48.95407466,0.133623608,39.23051133,0,19.36724295,14.55006006,0,14.54713388,0,21.00008439,20.59383605,17.04475432,1,1,10.5,21.055,0,694958.6492,0,210244.6972,0
n-lowe,n,lowe, 01/01  09:00:00,7.25,0.51,72576.01538,0,0,0,30.01864035,0,21.1118886,0,28.15481875,0,17.91208439,0,0,0,26.99233922,0,17.91284716,0,0,261.9092509,3.805800444,217.0986875,0,19.4829082,15.87558416,0,15.85236432,0,20.99999046,20.69189571,16.51266885,1,1,10.5,21.055,0,372173.4327,0,210244.6972,0
n-lowe,n,lowe, 01/01  10:00:00,10.5,0.3,72576.01538,0,0,0,46.89817295,0,30.68786013,0,44.01017961,0,26.14261444,0,0,0,43.47731916,0,26.14353332,0,0,418.8091803,5.71535059,357.7487576,0,19.70166823,17.49443602,0,17.48354851,0,20.99999124,20.78406172,15.9347994,1,1,10.5,21.055,0,234139.3789,0,210244.6972,0
