B_Scenario,B_Elevation,B_GlazingSystem,B_FanEnergy(kBtu),B_HeatingElecEnergy(kBtu),B_HeatingGasEnergy(kBtu),B_CoolingEnergy(kBtu),B_LightingEnergy(kBtu),B_AnnualEnergy(kBtu),B_FanEnergy(kBtu/sf),B_HeatingElecEnergy(kBtu/sf),B_HeatingGasEnergy(kBtu/sf),B_CoolingEnergy(kBtu/sf),B_LightingEnergy(kBtu/sf),B_EUI(kBtu/sf),B_CO2_Electric(lb/sf),B_CO2_Gas(lb/sf),B_FanCost($),B_HeatingElecCost($),B_HeatingGasCost($),B_CoolingCost($),B_LightingCost($),B_AnnualCost($),B_FanCost($/sf),B_HeatingElecCost($/sf),B_HeatingGasCost($/sf),B_CoolingCost($/sf),B_LightingCost($/sf),B_AnnualCost($/sf)
A1Eexist,E,Exist,1349.58,380.67,0.0,4070.76,467.12,6268.13,7.12,2.01,0.0,21.47,2.46,33.06,13.92,0.0,31.88,2.28,0.0,96.16,467.12,597.44,0.17,0.01,0.0,0.51,2.46,3.15
A1Nexist,N,Exist,1288.73,741.8,0.0,3157.01,467.12,5654.66,6.8,3.91,0.0,16.65,2.46,29.82,12.56,0.0,30.44,4.45,0.0,74.57,467.12,576.59,0.16,0.02,0.0,0.39,2.46,3.04
A1Wexist,W,Exist,2116.02,251.53,0.0,5269.3,467.12,8103.96,11.16,1.33,0.0,27.79,2.46,42.74,18.0,0.0,49.98,1.51,0.0,124.47,467.12,643.08,0.26,0.01,0.0,0.66,2.46,3.39
A2Sexist,S,Exist,1982.19,450.03,0.0,5332.18,467.12,8231.52,10.45,2.37,0.0,28.12,2.46,43.42,18.28,0.0,46.82,2.7,0.0,125.95,467.12,642.6,0.25,0.01,0.0,0.66,2.46,3.39
B1Eexist,E,Exist,1365.23,342.64,0.0,4233.16,467.12,6408.15,7.2,1.81,0.0,22.33,2.46,33.8,14.23,0.0,32.25,2.06,0.0,99.99,467.12,601.42,0.17,0.01,0.0,0.53,2.46,3.17
B1Nexist,N,Exist,1281.34,758.16,0.0,3116.68,467.12,5623.3,6.76,4.0,0.0,16.44,2.46,29.66,12.49,0.0,30.27,4.55,0.0,73.62,467.12,575.56,0.16,0.02,0.0,0.39,2.46,3.04
B1Wexist,W,Exist,1936.46,307.15,0.0,4943.07,467.12,7653.79,10.21,1.62,0.0,26.07,2.46,40.37,17.0,0.0,45.74,1.84,0.0,116.76,467.12,631.47,0.24,0.01,0.0,0.62,2.46,3.33
B2Eexist,E,Exist,1307.43,1164.87,0.0,3874.4,467.12,6813.82,6.9,6.14,0.0,20.43,2.46,35.94,15.13,0.0,30.88,6.99,0.0,91.52,467.12,596.51,0.16,0.04,0.0,0.48,2.46,3.15
B3Sexist,S,Exist,2072.12,436.79,0.0,5405.1,467.12,8381.12,10.93,2.3,0.0,28.51,2.46,44.2,18.61,0.0,48.95,2.62,0.0,127.68,467.12,646.37,0.26,0.01,0.0,0.67,2.46,3.41
B3Wexist,W,Exist,2116.02,685.55,0.0,5483.55,467.12,8752.24,11.16,3.62,0.0,28.92,2.46,46.16,19.44,0.0,49.98,4.11,0.0,129.53,467.12,650.75,0.26,0.02,0.0,0.68,2.46,3.43
C1Eexist,E,Exist,1349.58,380.67,0.0,4070.76,467.12,6268.13,7.12,2.01,0.0,21.47,2.46,33.06,13.92,0.0,31.88,2.28,0.0,96.16,467.12,597.44,0.17,0.01,0.0,0.51,2.46,3.15
C1Nexist,N,Exist,1288.73,741.8,0.0,3157.01,467.12,5654.66,6.8,3.91,0.0,16.65,2.46,29.82,12.56,0.0,30.44,4.45,0.0,74.57,467.12,576.59,0.16,0.02,0.0,0.39,2.46,3.04
C1Sexist,S,Exist,2072.12,153.57,0.0,5249.45,467.12,7942.26,10.93,0.81,0.0,27.69,2.46,41.89,17.64,0.0,48.95,0.92,0.0,124.0,467.12,640.99,0.26,0.0,0.0,0.65,2.46,3.38
C2Wexist,W,Exist,2074.59,707.72,0.0,5414.76,467.12,8664.18,10.94,3.73,0.0,28.56,2.46,45.7,19.24,0.0,49.0,4.25,0.0,127.9,467.12,648.28,0.26,0.02,0.0,0.67,2.46,3.42
C3Wexist,W,Exist,2006.33,747.21,0.0,5298.09,467.12,8518.75,10.58,3.94,0.0,27.94,2.46,44.93,18.92,0.0,47.39,4.48,0.0,125.15,467.12,644.15,0.25,0.02,0.0,0.66,2.46,3.4
