Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
s-singletint,south,existing, 04/30  08:00:00,21.425,55349.99437,24.71774507,23.9999841,24.35886458,0,176.5986309,23.9999841,0.010470504,54.18425086,0,0,0,569.3641969,2049711.109,409.1928789,1473094.364,0,0,915433.6117
s-singletint,south,existing, 04/30  09:00:00,21.625,75599.99231,25.28203679,24.00001328,24.64102503,0,306.5301636,24.00001328,0.010242762,53.05846949,0,0,0,739.4503825,2662021.377,540.7623282,1946744.381,0,0,915433.6117
s-singletint,south,existing, 04/30  10:00:00,22.1375,75599.99231,25.80912128,24.00000845,24.90456487,0,379.5220136,24.00000845,0.009939258,51.5308923,0,0,0,821.4432034,2957195.532,618.0498966,2224979.628,0,0,915433.6117
s-singletint,south,existing, 04/30  11:00:00,22.9,55349.99437,26.24788499,23.99998989,25.12393744,0,446.7272383,23.99998989,0.009656614,50.0560786,0,0,0,891.5910854,3209727.908,691.6700429,2490012.154,0,0,915433.6117
s-singletint,south,existing, 04/30  12:00:00,23.6375,44549.99547,26.7296492,23.99995434,25.36480177,0,564.4547048,23.99995434,0.009396801,48.71065375,0,0,0,1023.018769,3682867.567,815.5779258,2936080.533,0,0,915433.6117
s-singletint,south,existing, 04/30  13:00:00,24.275,44549.99547,27.08595704,23.99991291,25.54293497,0,657.9672047,23.99991291,0.009158198,47.4615822,0,0,0,1117.586406,4023311.061,914.4552008,3292038.723,0,0,915433.6117
s-singletint,south,existing, 04/30  14:00:00,24.8125,44549.99547,27.20472398,23.99987672,25.60230035,0,690.452046,23.99987672,0.009007068,46.67164669,0,0,0,1141.702796,4110130.067,951.4962575,3425386.527,0,0,915433.6117
s-singletint,south,existing, 04/30  15:00:00,25.375,44549.99547,27.27390617,23.99985503,25.6368806,0,707.2657757,23.99985503,0.008941237,46.30577948,0,0,0,1154.982087,4157935.511,973.0723448,3503060.441,0,0,915433.6117
s-singletint,south,existing, 04/30  16:00:00,25.725,44549.99547,27.36544546,23.99984174,25.6826436,0,734.4709483,23.99984174,0.00890438,46.07034388,0,0,0,1183.022182,4258879.856,1003.231512,3611633.444,0,0,915433.6117
s-singletint,south,existing, 04/30  17:00:00,25.8625,44549.99547,27.04184105,23.99983837,25.52083971,0,650.4037346,23.99983837,0.008921668,46.14075859,0,0,0,1083.882814,3901978.13,920.3580962,3313289.146,0,0,915433.6117
