Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
n-singletint-clear,north,clear panel, 01/01  01:00:00,7.8375,35099.99643,21.32039099,21.07025897,21.19532498,0,60.78297859,21.07025897,0.006008998,38.10757811,0,0,0,0,0,0,0,32356.91394,8.98803165,135208.9561
n-singletint-clear,north,clear panel, 01/01  02:00:00,6.8875,35099.99643,21.05966194,21.00005685,21.02985939,0,28.54983317,21.00005685,0.006150441,39.04579664,0,0,0,0,0,0,0,181655.6451,50.4599014,135208.9561
n-singletint-clear,north,clear panel, 01/01  03:00:00,6.0125,14849.99849,20.84905075,21.00000615,20.92452845,5.172713333,2.02088333,21.00000615,0.006189329,39.3151196,0,0,0,0,0,0,0,321671.4804,89.353189,135208.9561
n-singletint-clear,north,clear panel, 01/01  04:00:00,5.9125,14849.99849,20.6844859,21.00006211,20.842274,20.57269485,0,21.00006211,0.006171172,39.21559681,0,0,0,0,0,0,0,387261.1153,107.572532,135208.9561
n-singletint-clear,north,clear panel, 01/01  05:00:00,6.1,14849.99849,20.55677117,21.00009498,20.77843308,30.95439938,0,21.00009498,0.006150231,39.10833715,0,0,0,0,0,0,0,419033.9988,116.398333,135208.9561
n-singletint-clear,north,clear panel, 01/01  06:00:00,5.4125,14849.99849,20.40827358,21.00014852,20.70421105,47.30004416,0,21.00014852,0.006119402,38.92877825,0,0,0,0,0,0,0,498186.0449,138.3850125,135208.9561
n-singletint-clear,north,clear panel, 01/01  07:00:00,5,55349.99437,20.29678949,21.00017577,20.64848263,63.74188122,0,21.00017577,0.005994936,38.16835743,0.5,0,0,0,0,0,0,569544.948,158.20693,135208.9561
n-singletint-clear,north,clear panel, 01/01  08:00:00,4.625,55349.99437,20.28073926,21.00011801,20.64042864,47.06876993,0,21.00011801,0.005779688,36.84761556,1,0,0,0,0,0,0,520689.2721,144.6359089,135208.9561
n-singletint-clear,north,clear panel, 01/01  09:00:00,7.2125,75599.99231,20.61007417,21.00150841,20.80579129,0,37.15451425,21.00150841,0.005645999,36.03620686,0,0,0,0,0,0,0,141312.0594,39.25334984,135208.9561
n-singletint-clear,north,clear panel, 01/01  10:00:00,12.3375,75599.99231,21.01668321,21.17037155,21.09352738,0,37.21710694,21.17037155,0.00563939,35.66215548,0,0,0,1.484079697,5342.686909,1.433794255,5161.659317,12556.30492,3.487862479,135208.9561
