Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
s-singletint-lowe,south,lowe panel, 06/04  16:00:00,32.425,44549.99547,26.38018474,23.99981884,25.19000179,0,496.2732548,23.99981884,0.009550604,49.85094762,0,0,0,871.6065137,3137783.449,723.1922978,2603492.272,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/04  17:00:00,31.8875,44549.99547,26.07273071,23.99984616,25.03628843,0,418.3234532,23.99984616,0.009522144,49.67298583,0,0,0,770.4964812,2773787.332,640.6915589,2306489.612,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/04  18:00:00,32.0125,44549.99547,26.06859831,23.99980289,25.0342006,0,440.8075574,23.99980289,0.009569163,49.89563707,0,0,0,801.1213256,2884036.772,664.2821585,2391415.771,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/04  19:00:00,30.825,114749.9883,25.89635513,23.99977309,24.94806411,0,410.3052294,23.99977309,0.009675713,50.47491143,0,0,0,767.7930275,2764054.899,623.8502214,2245860.797,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/04  20:00:00,29.3125,134999.9863,25.64348305,23.99971259,24.82159782,0,371.7411011,23.99971259,0.009860663,51.41162971,0,0,0,723.0334571,2602920.445,572.5665461,2061239.566,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/04  21:00:00,28.525,134999.9863,25.5378247,23.99966746,24.76874608,0,364.959391,23.99966746,0.010018412,52.23464372,0,0,0,721.9633879,2599068.197,559.1237091,2012845.353,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/04  22:00:00,27.9875,134999.9863,25.45912171,23.99971604,24.72941887,0,341.4052907,23.99971604,0.01007544,52.5470726,0,0,0,693.3397176,2496022.984,531.0420915,1911751.53,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/04  23:00:00,27.1125,114749.9883,25.32084804,23.99975803,24.66030304,0,276.5766523,23.99975803,0.010199951,53.21967178,0,0,0,609.2984058,2193474.261,458.9180398,1652104.943,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/04  24:00:00,26.0125,55349.99437,25.158924,23.99977128,24.57934764,0,226.8612368,23.99977128,0.010466284,54.60693651,0,0,0,548.5133079,1974647.908,399.969163,1439888.987,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 06/05  01:00:00,25.225,29699.99698,25.0387269,23.99976667,24.51924678,0,213.4899947,23.99976667,0.010766868,56.11280873,0,0,0,538.0948653,1937141.515,379.941552,1367789.587,0,0,562028.1994
