Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1_SP:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1_SP:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1_SP:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1_SP:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1_SP:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1_SP:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2_SP:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2_SP:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2_SP:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2_SP:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2_SP:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2_SP:Surface Window Heat Gain Energy [J](Hourly),WIN_1_3_SP:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_3_SP:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_3_SP:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_3_SP:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_3_SP:Surface Window Heat Gain Rate [W](Hourly),WIN_1_3_SP:Surface Window Heat Gain Energy [J](Hourly),WIN_2_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_2_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_1:Surface Window Heat Gain Rate [W](Hourly),WIN_2_1:Surface Window Heat Gain Energy [J](Hourly),WIN_2_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_2_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_2:Surface Window Heat Gain Rate [W](Hourly),WIN_2_2:Surface Window Heat Gain Energy [J](Hourly),WIN_2_3:Surface Outside Face Sunlit Fraction [](Hourly),WIN_2_3:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_3:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_3:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_3:Surface Window Heat Gain Rate [W](Hourly),WIN_2_3:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1_SP:Surface Inside Face Temperature [C](Hourly),WIN_1_1_SP:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2_SP:Surface Inside Face Temperature [C](Hourly),WIN_1_2_SP:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_3_SP:Surface Inside Face Temperature [C](Hourly),WIN_1_3_SP:Surface Shading Device Is On Time Fraction [](Hourly),WIN_2_1:Surface Inside Face Temperature [C](Hourly),WIN_2_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_2_2:Surface Inside Face Temperature [C](Hourly),WIN_2_2:Surface Shading Device Is On Time Fraction [](Hourly),WIN_2_3:Surface Inside Face Temperature [C](Hourly),WIN_2_3:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
1NWexist,NW,Exist, 01/01  01:00:00,-6.65,0.975,39312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.95177925,18.49883563,0,18.49883563,0,18.49883563,0,9.502205531,0,9.502205531,0,9.502205531,0,21.00023913,19.938903,24.0207205,-1,-1,-7.110972222,-1,0,0,3585601.14,666236.2085,0
1NWexist,NW,Exist, 01/01  02:00:00,-7.9875,0.975,39312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.91148029,18.35327251,0,18.35327251,0,18.35327251,0,8.827827463,0,8.827827463,0,8.827827463,0,21.00030348,19.87059736,25.04896011,-1,-1,-7.110972222,-1,0,0,3915816.885,666236.2085,0
1NWexist,NW,Exist, 01/01  03:00:00,-7.425,0.975,16632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88151154,18.34496293,0,18.34496293,0,18.34496293,0,8.969673286,0,8.969673286,0,8.969673286,0,21.00027469,19.8489074,25.57893835,-1,-1,-7.110972222,-1,0,0,3914247.698,666236.2085,0
1NWexist,NW,Exist, 01/01  04:00:00,-6.8875,0.975,16632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.85816884,18.3555814,0,18.3555814,0,18.3555814,0,9.181189534,0,9.181189534,0,9.181189534,0,21.00024646,19.84061311,25.9010103,-1,-1,-7.110972222,-1,0,0,3875215.438,666236.2085,0
1NWexist,NW,Exist, 01/01  05:00:00,-6.325,0.975,16632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.83845007,18.37191631,0,18.37191631,0,18.37191631,0,9.325337631,0,9.325337631,0,9.325337631,0,21.00022355,19.83569116,26.11472743,-1,-1,-7.110972222,-1,0,0,3829109.078,666236.2085,0
1NWexist,NW,Exist, 01/01  06:00:00,-6.1,0.975,16632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.81806476,18.35861571,0,18.35861571,0,18.35861571,0,9.251614598,0,9.251614598,0,9.251614598,0,21.00021109,19.82262668,26.33413896,-1,-1,-7.110972222,-1,0,0,3845978.875,666236.2085,0
1NWexist,NW,Exist, 01/01  07:00:00,-5.7875,0.75,61992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.81129332,18.37884188,0,18.37884188,0,18.37884188,0,9.300531372,0,9.300531372,0,9.300531372,0,21.00019097,19.824369,26.44902235,-1,-1,-7.110972222,-1,0,0,3815195.78,666236.2085,0
1NWexist,NW,Exist, 01/01  08:00:00,-5.225,0.51,61992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.82590821,18.46154278,0,18.46154278,0,18.46154278,0,9.54794113,0,9.54794113,0,9.54794113,0,21.00014982,19.85127642,26.39664846,-1,-1,-7.110972222,-1,0,0,3575892.426,666236.2085,0
1NWexist,NW,Exist, 01/01  09:00:00,-4.625,0.51,84672,0,0,0,6.460817705,0,5.339200004,0,6.298601956,0,5.339200004,0,0,0,6.243436065,0,5.339200004,0,0,0,6.298601956,0,5.339200004,0,0,0,6.527720201,0,5.339200004,0,0,0,6.506253136,0,5.339200004,0,0,0,6.527720201,0,5.339200004,0,0,81.77239749,1.09797657,18.86574377,18.81832956,0,18.81626248,0,18.81832956,0,9.901339996,0,9.901152715,0,9.901339996,0,21.00011274,19.91222663,25.98930687,-1,-1,-7.110972222,-1,0,0,3202577.343,666236.2085,0
1NWexist,NW,Exist, 01/01  10:00:00,-3.7125,0.3,84672,0,0,0,35.54052838,0,29.20668725,0,34.62448651,0,29.20668725,0,0,0,34.31296148,0,29.20668725,0,0,0,34.62448651,0,29.20668725,0,0,0,35.91833072,0,29.20668725,0,0,0,35.79710493,0,29.20668725,0,0,0,35.91833072,0,29.20668725,0,0,443.3154466,8.739419006,18.91519656,20.04942406,0,20.03718997,0,20.04942406,0,10.63451827,0,10.63340121,0,10.63451827,0,21.00008454,20.03687054,25.07283941,-1,-1,-7.110972222,-1,0,0,2999269.819,666236.2085,0
1NWexist,NW,Exist, 01/01  11:00:00,-2.6125,0.3,61992,0,0,0,51.25781847,0,42.0594537,0,49.9274903,0,42.0594537,2.290381422,8245.373118,0,49.4750759,0,42.0594537,2.077958451,7480.650422,0,49.9274903,0,42.0594537,2.290381422,8245.373118,0,51.80648453,0,42.0594537,0,0,0,51.63043354,0,42.0594537,0,0,0,51.80648453,0,42.0594537,0,0,605.1094464,10.45515138,18.9563869,20.83155292,0,20.81233752,0,20.83155292,0,11.27690105,0,11.27527909,0,11.27690105,0,21.0000577,20.14227259,24.30243608,-1,-1,-7.110972222,-1,0,0,2794521.745,666236.2085,0
