Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1_SP:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1_SP:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1_SP:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1_SP:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1_SP:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1_SP:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2_SP:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2_SP:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2_SP:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2_SP:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2_SP:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2_SP:Surface Window Heat Gain Energy [J](Hourly),WIN_1_3_SP:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_3_SP:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_3_SP:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_3_SP:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_3_SP:Surface Window Heat Gain Rate [W](Hourly),WIN_1_3_SP:Surface Window Heat Gain Energy [J](Hourly),WIN_2_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_2_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_1:Surface Window Heat Gain Rate [W](Hourly),WIN_2_1:Surface Window Heat Gain Energy [J](Hourly),WIN_2_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_2_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_2:Surface Window Heat Gain Rate [W](Hourly),WIN_2_2:Surface Window Heat Gain Energy [J](Hourly),WIN_2_3:Surface Outside Face Sunlit Fraction [](Hourly),WIN_2_3:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_3:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_3:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_2_3:Surface Window Heat Gain Rate [W](Hourly),WIN_2_3:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1_SP:Surface Inside Face Temperature [C](Hourly),WIN_1_1_SP:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2_SP:Surface Inside Face Temperature [C](Hourly),WIN_1_2_SP:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_3_SP:Surface Inside Face Temperature [C](Hourly),WIN_1_3_SP:Surface Shading Device Is On Time Fraction [](Hourly),WIN_2_1:Surface Inside Face Temperature [C](Hourly),WIN_2_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_2_2:Surface Inside Face Temperature [C](Hourly),WIN_2_2:Surface Shading Device Is On Time Fraction [](Hourly),WIN_2_3:Surface Inside Face Temperature [C](Hourly),WIN_2_3:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
3NWlowe,NW,LowE Panel, 01/01  11:00:00,-2.6125,0.3,61992,0,0,0,51.25781847,0,42.0594537,0,49.9274903,0,42.0594537,2.401399799,8645.039277,0,49.4750759,0,42.0594537,2.469020948,8888.475413,0,49.9274903,0,42.0594537,2.401399799,8645.039277,0,51.80648453,0,42.0594537,0,0,0,51.63043354,0,42.0594537,0,0,0,51.80648453,0,42.0594537,0,0,455.2004987,9.026403435,19.16561731,21.03726426,0,21.01714969,0,21.03726426,0,14.5653086,0,14.56165799,0,14.5653086,0,21.00004645,20.35924544,22.68346458,-1,-1,-7.110972222,-1,0,0,2390425.376,528127.7198,0
3NWlowe,NW,LowE Panel, 01/01  12:00:00,-1.8875,0.3,49896,0,0,0,44.93079175,0,37.0904641,0,43.79687186,0,37.0904641,0.851600507,3065.761824,0,43.41125147,0,37.0904641,0.685051976,2466.187113,0,43.79687186,0,37.0904641,0.851600507,3065.761824,0,45.39845332,0,37.0904641,0,0,0,45.24839432,0,37.0904641,0,0,0,45.39845332,0,37.0904641,0,0,383.3364346,7.644469076,19.17769745,20.84793665,0,20.83153141,0,20.84793665,0,14.64046603,0,14.63738042,0,14.64046603,0,21.00002901,20.37805921,22.52927511,-1,-1,-7.110972222,-1,0,0,2285814.805,528127.7198,0
3NWlowe,NW,LowE Panel, 01/01  13:00:00,-1.0125,0.3,49896,0,0,0,43.46887764,0,35.91445254,0,42.37630686,0,35.91445254,1.042529452,3753.106028,0,42.00474836,0,35.91445254,0.869191662,3129.089983,0,42.37630686,0,35.91445254,1.042529452,3753.106028,0,43.91948563,0,35.91445254,0,0,0,43.77489863,0,35.91445254,0,0,0,43.91948563,0,35.91445254,0,0,361.7051349,7.0900472,19.19398716,20.8647139,0,20.84891528,0,20.8647139,0,14.88861155,0,14.88561886,0,14.88861155,0,21.00000869,20.40482055,22.25244885,-1,-1,-7.110972222,-1,0,0,2139639.66,528127.7198,0
3NWlowe,NW,LowE Panel, 01/01  14:00:00,-0.225,0.3,49896,0,0,0,38.14587613,0,31.51680326,0,37.18158943,0,31.51680326,0.224408522,807.8706796,0,36.85213415,0,31.51680326,0.186514667,671.4527997,0,37.17907879,0,31.51680326,0.22380713,805.7056666,0,38.54686764,0,31.51680326,0,0,0,38.41718895,0,31.51680326,0,0,0,38.54582591,0,31.51680326,0,0,313.8548657,6.071001693,19.20666365,20.7109464,0,20.69731754,0,20.71084121,0,15.05250864,0,15.04977655,0,15.0524867,0,20.99998882,20.41906406,21.98677031,-1,-1,-7.110972222,-1,0,0,2037097.551,528127.7198,0
3NWlowe,NW,LowE Panel, 01/01  15:00:00,0.375,0.3,49896,0,0,0,42.10220621,0,34.50753232,0,40.97665929,0,34.50753232,1.713652055,6169.147397,0,40.59619201,0,34.50753232,1.617947747,5824.611889,0,40.97996968,0,34.50753232,1.716338897,6178.820029,0,42.57133519,0,34.50753232,0,0,0,42.41565423,0,34.50753232,0,0,0,42.5761671,0,34.50753232,0,0,328.9589311,6.181016553,19.232099,20.95603181,0,20.9395995,0,20.95617619,0,15.38788595,0,15.38453478,0,15.38798924,0,20.99996901,20.45800612,21.46857058,-1,-1,-7.110972222,-1,0,0,1883802.32,528127.7198,0
3NWlowe,NW,LowE Panel, 01/01  16:00:00,0.6,0.3,49896,0,0,0,23.22518513,0,19.06537392,0,22.60944807,0,19.06537392,0,0,0,22.40365655,0,19.06537392,0,0,0,22.61709111,0,19.06537392,0,0,0,23.47643301,0,19.06537392,0,0,0,23.39508901,0,19.06537392,0,0,0,23.48313427,0,19.06537392,0,0,186.0373622,2.37942423,19.2303216,20.2064807,0,20.19826176,0,20.20678604,0,15.05111143,0,15.04934577,0,15.05125632,0,20.99994739,20.42498472,21.40214391,-1,-1,-7.110972222,-1,0,0,1952482.887,528127.7198,0
3NWlowe,NW,LowE Panel, 01/01  17:00:00,0.6,0.3,49896,0,0,0,2.372199137,0,1.95933211,0,2.312190472,0,1.95933211,0,0,0,2.291869208,0,1.95933211,0,0,0,2.312403671,0,1.95933211,0,0,0,2.396832171,0,1.95933211,0,0,0,2.388957762,0,1.95933211,0,0,0,2.397018263,0,1.95933211,0,0,14.24087733,0,19.20568685,19.34571411,0,19.34493369,0,19.3457223,0,14.57613477,0,14.57595589,0,14.57613942,0,20.99995143,20.35732453,21.56275422,-1,-1,-7.110972222,-1,0,0,2111817.576,528127.7198,0
3NWlowe,NW,LowE Panel, 01/01  18:00:00,0.6,0.51,49896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21004448,19.24630541,0,19.24630549,0,19.24630541,0,14.55047345,0,14.55047341,0,14.55047345,0,20.99997712,20.34388073,21.35960769,-1,-1,-7.110972222,-1,0,0,2008171.668,528127.7198,0
3NWlowe,NW,LowE Panel, 01/01  19:00:00,0.6,0.525,128520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23607161,19.2874771,0,19.2874771,0,19.2874771,0,14.6799651,0,14.6799651,0,14.6799651,0,20.9999968,20.36118569,20.98571926,-1,-1,-7.110972222,-1,0,0,1907528.874,528127.7198,0
3NWlowe,NW,LowE Panel, 01/01  20:00:00,0.225,0.975,151200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.25796237,19.2834292,0,19.2834292,0,19.2834292,0,14.49535398,0,14.49535398,0,14.49535398,0,21.00001902,20.36608233,20.70628006,-1,-1,-7.110972222,-1,0,0,1822935.905,528127.7198,0
