Scenario,Elevation,GlazingSystem,FanEnergy(kBtu),HeatingElecEnergy(kBtu),HeatingGasEnergy(kBtu),CoolingEnergy(kBtu),LightingEnergy(kBtu),AnnualEnergy(kBtu),FanEnergy(kBtu/sf),HeatingElecEnergy(kBtu/sf),HeatingGasEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),LightingEnergy(kBtu/sf),EUI(kBtu/sf),CO2_Electric(lb/sf),CO2_Gas(lb/sf),FanCost($),HeatingElecCost($),HeatingGasCost($),CoolingCost($),LightingCost($),AnnualCost($),FanCost($/sf),HeatingElecCost($/sf),HeatingGasCost($/sf),CoolingCost($/sf),LightingCost($/sf),AnnualCost($/sf)
1Eexist,E,Exist,11539.402491101398,0.0,3047.9051078282478,6128.168118150779,517.3818755319852,18184.952484784808,54.94953567191317,0.0,14.51383384680117,29.18175294357508,2.463723216819092,101.1088456791125,25.666761507096883,2.1140850381250633,352.72852378033866,0.0,18.28743064696947,187.32163086085467,53.962929617988166,612.3005149061621,1.6796596370494994,0.0,0.08708300308080713,0.892007766004069,0.2569663315142422,2.9157167376483644
1NWexist,NW,Exist,5531.6779391705195,0.0,10939.31755451509,2770.664010759175,517.3818755319852,8819.723825461318,26.34132351986476,0.0,52.09198835483365,13.193638146472262,2.463723216819092,94.09067323798514,12.448410199366764,7.587719023765068,169.0885290651935,0.0,65.6359053270901,84.69175307473515,53.962929617988166,373.37911708501906,0.805183471739244,0.0,0.3125519301290014,0.40329406226064185,0.2569663315142422,1.7779957956429677
1SWexist,SW,Exist,7919.625871132541,0.0,5063.978716598674,5647.202681957894,517.3818755319852,14084.210428621638,37.71250414824476,0.0,24.114184364755673,26.89144134265678,2.463723216819092,91.18185307247623,19.878857004968538,3.512472094570303,242.08168010175692,0.0,30.383872299592035,172.6198099972102,53.962929617988166,499.04829201657776,1.152769905246427,0.0,0.14468510618853384,0.8219990952248116,0.2569663315142422,2.3764204381741942
2Eclear,E,Clear Panel,10346.24466896662,0.0,1632.2068996711114,5891.609641418943,517.3818755319852,16755.236185917158,49.26783175698235,0.0,7.7724138079576575,28.05528400675681,2.463723216819092,87.55925278851663,23.64881907383784,1.1321297952671157,316.2568955861296,0.0,9.793241398026643,180.09067394175293,53.962929617988166,560.103740543892,1.505985217076708,0.0,0.046634482847746045,0.8575746378178675,0.2569663315142422,2.667160669256671
2NWclear,NW,Clear Panel,5003.128527574401,0.0,8375.998723872268,2639.49329232423,517.3818755319852,8160.003695430348,23.824421559876743,0.0,39.88570820891569,12.56901567773443,2.463723216819092,78.74286866334596,11.517262358693321,5.809752257710664,152.93219394807787,0.0,50.25599234323366,80.6822167133469,53.962929617988166,337.83333262267195,0.7282485426099689,0.0,0.23931424925349376,0.3842010319683183,0.2569663315142422,1.6087301553460676
2SWclear,SW,Clear Panel,6976.35448085137,0.0,3564.2734076556617,5231.3230350170525,517.3818755319852,12725.059391401002,33.22073562310847,0.0,16.972730512646027,24.911062071509942,2.463723216819092,77.56825142408074,17.960512398149152,2.4722479264720185,213.2484085980268,0.0,21.38564044593399,159.9074868029335,53.962929617988166,448.50446546485915,1.0154686123716028,0.0,0.10183638307587604,0.7614642228711144,0.2569663315142422,2.1357355498326744
3Elowe,E,LowE Panel,8991.220596812602,0.0,2538.2702561082756,4844.037242740256,517.3818755319852,14352.639715085648,42.815336175300324,0.0,12.087001219563227,23.06684401304881,2.463723216819092,80.43290462472764,20.257725769290985,1.7605925976415782,274.83745111950435,0.0,15.229621536649681,148.06920090414206,53.962929617988166,492.09920317831353,1.30874976723569,0.0,0.07252200731737934,0.7050914328768673,0.2569663315142422,2.343329538944366
3NWlowe,NW,LowE Panel,4384.980010707648,0.0,9497.67518098754,2249.4465946817404,517.3818755319852,7151.808480920772,20.880857193840928,0.0,45.22702467136919,10.711650450865418,2.463723216819092,79.28325553289908,10.094266827357004,6.587768413631626,134.03705496673902,0.0,56.986051085925354,68.7595373570352,53.962929617988166,313.745573027685,0.6382716903178377,0.0,0.27136214802821434,0.32742636836683414,0.2569663315142422,1.4940265382270554
3SWlowe,SW,LowE Panel,6146.367873952478,0.0,4620.6801891155055,4240.850881004885,517.3818755319852,10904.600630488885,29.268418447392587,0.0,22.003238995788088,20.194528004785045,2.463723216819092,73.92990866478141,15.391064889889646,3.2049917921264997,187.8779484866279,0.0,27.724081134692955,129.63141479663707,53.962929617988166,399.196374035959,0.8946568975555081,0.0,0.1320194339747283,0.6172924514125566,0.2569663315142422,1.9009351144569542
