B_Scenario,B_Date_Time,B_Elevation,B_GlazingSystem,B_LightingEnergy[J](Hourly),B_FanEnergy[J](Hourly),B_CoolingEnergy[J](Hourly),B_HeatingEnergy[J](Hourly),B_PeakElecEnergy[J](Hourly),B_PeakGasEnergy[J](Hourly),B_PeakElecEnergy(W),B_PeakElecEnergy(W/sf),B_PeakGasEnergy(W),B_PeakGasEnergy(W/sf),C_Scenario,C_Date_Time,C_Elevation,C_GlazingSystem,C_LightingEnergy[J](Hourly),C_FanEnergy[J](Hourly),C_CoolingEnergy[J](Hourly),C_HeatingEnergy[J](Hourly),C_PeakElecEnergy[J](Hourly),C_PeakGasEnergy[J](Hourly),C_PeakElecEnergy(W),C_PeakElecEnergy(W/sf),C_PeakGasEnergy(W),C_PeakGasEnergy(W/sf),L_Scenario,L_Date_Time,L_Elevation,L_GlazingSystem,L_LightingEnergy[J](Hourly),L_FanEnergy[J](Hourly),L_CoolingEnergy[J](Hourly),L_HeatingGasEnergy[J](Hourly),L_PeakElecEnergy[J](Hourly),L_PeakGasEnergy[J](Hourly),L_PeakElecEnergy(W),L_PeakElecEnergy(W/sf),L_PeakGasEnergy(W),L_PeakGasEnergy(W/sf),DeltaClear_PeakElecEnergy(W),DeltaClear_PeakElecEnergy(W/sf),DeltaLowe_PeakElecEnergy(W),DeltaLowe_PeakElecEnergy(W/sf)
Eexist, 07/05  18:00:00,E,Exist,42336,804832.4098,5629609.4,0.0,6476777.809800001,0.0,1799.104947166667,8.567166415079367,0.0,0.0,Eclear, 07/05  18:00:00,E,Clear,42336,735788.3452,5265075.959,0.0,6043200.3042,0.0,1678.6667511666667,7.993651196031746,0.0,0.0,Elowe, 07/05  18:00:00,E,Lowe,42336,651648.5121,4775248.754,0.0,5469233.2661,0.0,1519.2314628055556,7.234435537169312,0.0,0.0,120.43819600000029,0.5735152190476205,279.8734843611114,1.3327308779100546
NWexist, 07/19  09:00:00,NW,Exist,66528,383892.5217,2973761.5960000004,0.0,3424182.1177000003,0.0,951.1616993611112,4.529341425529101,0.0,0.0,NWclear, 07/03  10:00:00,NW,Clear,66528,277626.4293,2770572.841,0.0,3114727.2703,0.0,865.2020195277778,4.120009616798942,0.0,0.0,NWlowe, 07/06  09:00:00,NW,Lowe,66528,309995.3673,2475719.4869999997,0.0,2852242.8543,0.0,792.2896817499999,3.7728080083333326,0.0,0.0,85.95967983333344,0.4093318087301592,158.87201761111135,0.7565334171957687
SWexist, 08/02  10:00:00,SW,Exist,66528,499858.4792,4076789.345,0.0,4643175.824200001,0.0,1289.771062277778,6.141766963227514,0.0,0.0,SWclear, 08/02  10:00:00,SW,Clear,66528,460662.3956,3728815.5510000004,0.0,4256005.9466,0.0,1182.2238740555556,5.629637495502646,0.0,0.0,SWlowe, 08/02  11:00:00,SW,Lowe,42336,416540.5564,3362779.943,0.0,3821656.4994,0.0,1061.5712498333335,5.05510118968254,0.0,0.0,107.5471882222223,0.5121294677248684,228.19981244444443,1.0866657735449738
