B_Scenario,B_Elevation,B_GlazingSystem,B_FanEnergy(kBtu),B_HeatingEnergy(kBtu),B_CoolingEnergy(kBtu),B_LightingEnergy(kBtu),B_AnnualEnergy(kBtu),B_FanEnergy(kBtu/sf),B_HeatingEnergy(kBtu/sf),B_CoolingEnergy(kBtu/sf),B_LightingEnergy(kBtu/sf),B_EUI(kBtu/sf),B_CO2_Electric(lb/sf),B_FanCost($),B_HeatingCost($),B_CoolingCost($),B_LightingCost($),B_AnnualCost($),B_FanCost($/sf),B_HeatingCost($/sf),B_CoolingCost($/sf),B_LightingCost($/sf),B_AnnualCost($/sf),C_FanEnergy(kBtu),C_HeatingEnergy(kBtu),C_CoolingEnergy(kBtu),C_LightingEnergy(kBtu),C_AnnualEnergy(kBtu),C_FanEnergy(kBtu/sf),C_HeatingEnergy(kBtu/sf),C_CoolingEnergy(kBtu/sf),C_LightingEnergy(kBtu/sf),C_EUI(kBtu/sf),C_CO2_Electric(lb/sf),C_FanCost($),C_HeatingCost($),C_CoolingCost($),C_LightingCost($),C_AnnualCost($),C_FanCost($/sf),C_HeatingCost($/sf),C_CoolingCost($/sf),C_LightingCost($/sf),C_AnnualCost($/sf),L_FanEnergy(kBtu),L_HeatingEnergy(kBtu),L_CoolingEnergy(kBtu),L_LightingEnergy(kBtu),L_AnnualEnergy(kBtu),L_FanEnergy(kBtu/sf),L_HeatingEnergy(kBtu/sf),L_CoolingEnergy(kBtu/sf),L_LightingEnergy(kBtu/sf),L_EUI(kBtu/sf),L_CO2_Electric(lb/sf),L_FanCost($),L_HeatingCost($),L_CoolingCost($),L_LightingCost($),L_AnnualCost($),L_FanCost($/sf),L_HeatingCost($/sf),L_CoolingCost($/sf),L_LightingCost($/sf),L_AnnualCost($/sf),DeltaClear_FanEnergy(kBtu/sf),DeltaClear_HeatingEnergy(kBtu/sf),DeltaClear_CoolingEnergy(kBtu/sf),DeltaClear_LightingEnergy(kBtu/sf),DeltaClear_EUI(kBtu/sf),DeltaClear_CO2_Electric(lb/sf),DeltaClear_FanCost($),DeltaClear_HeatingCost($),DeltaClear_CoolingCost($),DeltaClear_LightingCost($),DeltaClear_AnnualCost($),DeltaClear_FanCost($/sf),DeltaClear_HeatingCost($/sf),DeltaClear_CoolingCost($/sf),DeltaClear_LightingCost($/sf),DeltaClear_AnnualCost($/sf),DeltaLowe_FanEnergy(kBtu/sf),DeltaLowe_HeatingEnergy(kBtu/sf),DeltaLowe_CoolingEnergy(kBtu/sf),DeltaLowe_LightingEnergy(kBtu/sf),DeltaLowe_EUI(kBtu/sf),DeltaLowe_CO2_Electric(lb/sf),DeltaLowe_FanCost($),DeltaLowe_HeatingCost($),DeltaLowe_CoolingCost($),DeltaLowe_LightingCost($),DeltaLowe_AnnualCost($),DeltaLowe_FanCost($/sf),DeltaLowe_HeatingCost($/sf),DeltaLowe_CoolingCost($/sf),DeltaLowe_LightingCost($/sf),DeltaLowe_AnnualCost($/sf)
e-singletint,east,existing,2916.6983462694966,826.1487286157346,16437.732766470195,461.9480561829591,20642.52789753863,15.555724513436706,4.406126552617251,87.66790808784107,2.4637229663092475,110.09348212020497,11.480548315494941,64.96479290746927,18.401142214083116,366.1242193275843,10.28915446203646,459.7793089111672,0.3464788955064324,0.09813942514177665,1.9526625030804536,0.054875490464197964,2.4521563141929272,3122.4179135107975,126.87886945847298,15462.603992195835,461.9480561829591,19173.848831348023,16.65289553872464,0.6766873037785224,82.46722129171108,2.4637229663092475,102.26052710052187,10.663727766042571,69.54686739588183,2.826023983332172,344.40478476217345,10.28915446203646,427.0668306034181,0.37091662611139953,0.015072127911104922,1.8368255187315858,0.054875490464197964,2.2776897632182407,2205.714847652588,285.0830739287278,11907.535301180911,461.9480561829591,14860.28127894535,11.763812520812094,1.5204430609532187,63.50685493963135,2.4637229663092475,79.25483348770872,8.2646940360982,49.12877208365703,6.34976972606405,265.2213129509766,10.28915446203646,330.98900922274055,0.262020117779503,0.03386543853900829,1.4145136690718776,0.054875490464197964,1.7652747158546207,-1.0971710252861777,3.729439248838731,5.200686796129856,0.0,7.832955019682285,0.8168205494524793,-4.582074488412008,15.575118230750942,21.719434565410904,0.0,32.71247830774956,-0.024437730604867768,0.08306729723067177,0.11583698434885732,0.0,0.17446655097466335,3.7919119926229583,2.885683491664034,24.161053148209596,0.0,30.838648632497293,3.215854279396827,15.836020823801153,12.051372488019068,100.90290637660786,0.0,128.79029968842988,0.084458777726944,0.06427398660276847,0.538148834008576,0.0,0.6868815983382921
n-singletint,north,existing,874.6665511814896,1745.0520803837478,7991.155691934971,461.9480561829591,11072.822379683212,4.664888272966876,9.306944428713347,42.61949702365323,2.4637229663092475,59.05505269164331,6.158260894684574,19.48179914911955,38.86824537747213,177.9902180428949,10.28915446203646,246.62941703152424,0.10390292879528555,0.20729730867985116,0.9492811628954416,0.054875490464197964,1.3153568908348017,1122.6234631117245,543.5247155309402,9048.472790645936,461.9480561829591,11176.569025471426,5.9873251365954845,2.8987984828316837,48.258521550111695,2.4637229663092475,59.608368135848075,6.215960629206317,25.004642968099695,12.10614413716044,201.5402661454477,10.28915446203646,248.9402077127406,0.13335809582982558,0.06456610206485561,1.074881419442387,0.054875490464197964,1.3276811078013013,930.3064513090094,726.1104917866228,7602.594655671445,461.9480561829591,9720.959654950002,4.961634406979661,3.8725892895286713,40.547171496914274,2.4637229663092475,51.84511815973219,5.406408921696949,20.721088976191165,16.17295041401466,169.33564213001148,10.28915446203646,216.51883598225228,0.11051247453966762,0.0862557355414112,0.9031234246933982,0.054875490464197964,1.1547671252386846,-1.3224368636274983,6.408145945881652,-5.639024526458585,0.0,-0.5533154442046294,-0.05769973452165266,-5.522843818977526,26.76210124031166,-23.550048102551806,0.0,-2.3107906812183163,-0.029455167034547817,0.1427312066149959,-0.12560025654694315,0.0,-0.012324216966497823,-0.2967461340127936,5.434355139184673,2.0723255267388945,0.0,7.2099345319108075,0.7518519729876616,-1.2392898270713302,22.69529496345747,8.654575912883304,0.0,30.110581049269577,-0.006609545744381644,0.12104157313844009,0.046157738202044475,0.0,0.16058976559610186
s-singletint,south,existing,7600.733568680955,213.48943006708,22054.182366013814,461.9480561829591,30330.35342094369,40.53724569962801,1.1386102936910922,117.62230595207399,2.4637229663092475,161.7618849116993,16.868529358592152,169.2941893925155,4.755135761632488,491.22165546671533,10.28915446203646,675.5601350828721,0.902902343426636,0.025360724062039923,2.61984882915582,0.054875490464197964,3.6029873871086764,6569.534102046966,8.677794352855969,19839.788883361776,461.9480561829591,26879.948835946063,35.037515210925164,0.0462815698818985,105.81220737792943,2.4637229663092475,143.359727125046,14.949552344599793,146.3258697917833,0.19328399652569384,441.89958066246965,10.28915446203646,598.707888912796,0.7804046388893613,0.0010308479814703673,2.3567977635331663,0.054875490464197964,3.1931087408682663,4666.451555991735,63.53097267917272,14861.299754161088,461.9480561829591,20053.230339014717,24.887741631954892,0.3388318542889215,79.26026535552583,2.4637229663092475,106.95056180807843,11.152804585346379,103.93774842553407,1.4150508531645287,331.0116941299951,10.28915446203646,446.65364787072207,0.554334658269399,0.007546937883544157,1.7653957020266466,0.054875490464197964,2.3821527886438636,5.499730488703151,1.0923287238091952,11.810098574144012,0.0,18.402157786655362,1.9189770139924331,22.968319600718377,4.561851765106798,49.32207480424613,0.0,76.85224617007475,0.12249770453715943,0.024329876080569572,0.2630510656226477,0.0,0.409878646240395,15.64950406766948,0.7997784394021719,38.36204059654788,0.0,54.81132310362184,5.715724773245718,65.35644096695056,3.3400849084679556,160.20996133671977,0.0,228.9064872121508,0.34856768515718234,0.01781378617849577,0.8544531271291692,0.0,1.2208345984648192
w-singletint,west,existing,2724.541310168276,895.6584862539609,16948.506784196943,461.9480561829591,21030.654636802064,14.530886987564726,4.776845260021121,90.39203618238344,2.4637229663092475,112.16349139627759,11.696408882803796,60.68480211856766,19.949360944275444,377.5008940277881,10.28915446203646,468.4242115526616,0.3236522779656707,0.10639659170280243,2.0133381014815384,0.054875490464197964,2.4982624616141886,2784.36204894207,150.18028323908706,15783.296202555823,461.9480561829591,19179.78659091945,14.849930927687844,0.8009615106084645,84.17757974696445,2.4637229663092475,102.29219515157085,10.667030110405896,62.017213442816306,3.3450257246829262,351.54769107599316,10.28915446203646,427.19908470552485,0.3307584716949446,0.01784013719830893,1.8749210190719605,0.054875490464197964,2.2783951184294358,2077.22482367298,315.49165104820446,12249.854889917327,461.9480561829591,15104.519420821263,11.07853239292061,1.6826221389237592,65.33255941289242,2.4637229663092475,80.5574369110469,8.400529521083982,46.26686220901984,7.027072168980076,272.84593454370076,10.28915446203646,336.4290233837442,0.24675659844811168,0.03747771823456036,1.4551783175664037,0.054875490464197964,1.794288124713292,-0.31904394012581905,3.9758837494126578,6.214456435419153,0.0,9.871296244705874,1.0293787723979404,-1.3324113242526776,16.60433521959252,25.953202951795785,0.0,41.225126847135904,-0.007106193729348863,0.08855645450449338,0.13841708240957748,0.0,0.219867343184726,3.4523545946410312,3.0942231210973676,25.059476769491216,0.0,31.60605448522994,3.2958793617197712,14.417939909536402,12.922288775295362,104.65495948408692,0.0,131.9951881689168,0.07689567951749975,0.06891887346824187,0.5581597839151297,0.0,0.7039743369009003
