Scenario,Elevation,GlazingSystem,FanEnergy(kBtu),HeatingEnergy(kBtu),CoolingEnergy(kBtu),LightingEnergy(kBtu),AnnualEnergy(kBtu),FanEnergy(kBtu/sf),HeatingEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),LightingEnergy(kBtu/sf),EUI(kBtu/sf),CO2_Electric(lb/sf),FanCost($),HeatingCost($),CoolingCost($),LightingCost($),AnnualCost($),FanCost($/sf),HeatingCost($/sf),CoolingCost($/sf),LightingCost($/sf),AnnualCost($/sf)
e-clear,e,clear,2677.944444747772,179.7537980232782,1004.8378163987428,443.4702729865887,4306.006332156013,14.877469137485155,0.9986322112404342,5.582432313326343,2.46372373881424,23.922257400867156,3.4235142566379735,150.76546747740252,10.119950562443806,56.57131664006561,24.96691189777458,242.42364657767274,0.8375859304298804,0.05622194756913223,0.31428509244480807,0.1387050660987439,1.346798036542599
e-exist,e,exist,2876.7823824754137,825.1342269118458,693.4706481560669,443.4702729865887,4838.857530529705,15.982124347083808,4.584079038399141,3.852614711978151,2.46372373881424,26.88254183627635,3.847160562189536,161.95983511730444,46.45419276563381,39.04167118035768,24.96691189777458,272.4226109610674,0.8997768617626679,0.25807884869796516,0.21689817322420973,0.1387050660987439,1.513458949783696
e-lowe,e,lowe,2165.615351231509,386.6428224546414,566.1035999341517,443.4702729865887,3561.8320466070136,12.031196395731806,2.14801568030357,3.1450199996341843,2.46372373881424,19.78795581448402,2.831854356610771,121.92187610354499,21.767585951413317,31.87103976413998,24.96691189777458,200.52741371686727,0.6773437561307777,0.12093103306340762,0.177061332023,0.1387050660987439,1.1140411873159266
w-clear,w,clear,4358.412042479881,3.0014247504494365,2305.3874018059078,443.4702729865887,7110.271142022858,24.213400236003267,0.016674581946941325,12.807707787810653,2.46372373881424,39.50150634457111,5.653060572971659,245.37403318142356,0.168977069889283,129.79089615973137,24.96691189777458,400.30081830885416,1.3631890732304017,0.0009387614993849053,0.7210605342207304,0.1387050660987439,2.223893435049183
w-exist,w,exist,4838.973705483957,121.42093001389321,1878.6496656970028,443.4702729865887,7282.514574180619,26.88318725268072,0.6745607222994064,10.436942587205612,2.46372373881424,40.45841430100385,5.7900036706166675,272.4291514892995,6.835871188810271,105.76600856324201,24.96691189777458,409.99794313910036,1.5134952860513562,0.037977062160056994,0.5875889364624545,0.1387050660987439,2.2777663507728234
w-lowe,w,lowe,3523.631396183975,26.73399810767268,1389.2534422684719,443.4702729865887,5383.089109546271,19.57572997879567,0.1485222117092926,7.7180746792692405,2.46372373881424,29.906050608590366,4.279854902595358,198.37675710770316,1.5050960934415294,78.21351375641626,24.96691189777458,303.06227885533997,1.102093095042712,0.00836164496356405,0.43451952086897877,0.1387050660987439,1.6836793269741819
