Scenario,Elevation,GlazingSystem,FanEnergy(kBtu),HeatingElecEnergy(kBtu),HeatingGasEnergy(kBtu),CoolingEnergy(kBtu),LightingEnergy(kBtu),AnnualEnergy(kBtu),FanEnergy(kBtu/sf),HeatingElecEnergy(kBtu/sf),HeatingGasEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),LightingEnergy(kBtu/sf),EUI(kBtu/sf),CO2_Electric(lb/sf),CO2_Gas(lb/sf),FanCost($),HeatingElecCost($),HeatingGasCost($),CoolingCost($),LightingCost($),AnnualCost($),FanCost($/sf),HeatingElecCost($/sf),HeatingGasCost($/sf),CoolingCost($/sf),LightingCost($/sf),AnnualCost($/sf)
A1Eclear,E,Clear,1381.3625554772357,67.94656264096491,0.0,4096.195513721993,467.1218993160397,6012.626531156097,7.285667486694639,0.3583679464185915,0.0,21.604406717943018,2.4637230976583675,31.71216524871356,13.351772934665991,0.0,32.629894672705106,0.40767937584578967,0.0,96.7583981783894,37.65002508487242,167.44599731181543,0.17209860059445684,0.002150207678511547,0.0,0.5103291043163987,0.19857608167125743,0.8831539942606288
A1Eexist,E,Exist,1349.5787508589392,380.66925179154134,0.0,4070.7565473086547,467.1218993160397,6268.126449275223,7.118031386385641,2.007749218309816,0.0,21.470234954159547,2.4637230976583675,33.059738656514554,13.919141766552194,0.0,31.87911263299834,2.284015510749252,0.0,96.15749091377695,37.65002508487242,167.97064414239134,0.16813877970986527,0.012046495309858891,0.0,0.5071597622034657,0.19857608167125743,0.8859211188944712
A1Elowe,E,Lowe,1198.6007165002004,145.4444723638727,0.0,3264.3370075858857,467.1218993160397,5075.504095765926,6.321733736813997,0.7671121960119877,0.0,17.216967339587963,2.4637230976583675,26.769536370073578,11.27077789789217,0.0,28.312780724341454,0.8726668341832371,0.0,77.10862894858481,37.65002508487242,143.94410159197648,0.14932901225916903,0.004602673176071928,0.0,0.4066910809524528,0.19857608167125743,0.7591988480589447
A1Nclear,N,Clear,1332.9919894104307,186.2492004539406,0.0,3151.0717974922895,467.1218993160397,5137.434886672842,7.030548467355878,0.98232700661361,0.0,16.61957699099303,2.4637230976583675,27.096175562620047,11.408302797129675,0.0,31.487307978316636,1.117495202723643,0.0,74.4331315849259,37.65002508487242,144.68795985084236,0.16607229946372765,0.005893962039681657,0.0,0.3925798079373733,0.19857608167125743,0.763122151112038
A1Nexist,N,Exist,1288.7255508704704,741.8013892060668,0.0,3157.013594748928,467.1218993160397,5654.662434141237,6.797075690243423,3.912454584420201,0.0,16.650915584118906,2.4637230976583675,29.824168956441323,12.556869855730554,0.0,30.441667048378534,4.450808335236408,0.0,74.57348591687293,37.65002508487242,147.11598638535315,0.16055731565597808,0.02347472750652117,0.0,0.39332007340122843,0.19857608167125743,0.7759281982349874
A1Nlowe,N,Lowe,1167.5822927608153,308.6839073007581,0.0,2666.3259213271112,467.1218993160397,4609.714020704782,6.158134455490521,1.62807967985632,0.0,14.062900428940472,2.4637230976583675,24.312837661944435,10.236434040808122,0.0,27.58007815070133,1.8521034438045472,0.0,62.9826931612228,37.65002508487242,130.0648998405958,0.14546454720834043,0.009768478079137914,0.0,0.33218720021741993,0.19857608167125743,0.68599630717614
A1Wclear,W,Clear,2030.8801108444632,29.679902616988755,0.0,5065.73214677104,467.1218993160397,7593.414059548299,10.711392989683615,0.15653957076470862,0.0,26.717996554699678,2.4637230976583675,40.04965221280756,16.862105071158076,0.0,47.972491976843024,0.17807941570193256,0.0,119.6603351769618,37.65002508487242,205.4609316543845,0.25301947245176193,0.0009392374245882514,0.0,0.6311199112708955,0.19857608167125743,1.0836547028184813
A1Wexist,W,Exist,2116.0167106357217,251.52545039527206,0.0,5269.2959773710245,467.1218993160397,8103.960037718085,11.160425689005798,1.3266110252915195,0.0,27.791645450269208,2.4637230976583675,42.74240526222665,17.995834887555503,0.0,49.98354857670031,1.5091527023716322,0.0,124.46882395879082,37.65002508487242,213.61155032274357,0.263626311058639,0.007959666151749117,0.0,0.6564811390231573,0.19857608167125743,1.1266431979047604
A1Wlowe,W,Lowe,1628.9345426635368,87.15143514618661,0.0,3855.5153950880053,467.1218993160397,6038.723272213626,8.59142691278115,0.45965946807060437,0.0,20.334996809535816,2.4637230976583675,31.849806288045897,13.409723941456033,0.0,38.477923370000504,0.5229086108771192,0.0,91.0731659490205,37.65002508487242,167.7240230147749,0.2029426338080121,0.0027579568084236204,0.0,0.4803437022627626,0.19857608167125743,0.8846203745505007
A2Sclear,S,Clear,1915.151230034416,163.25089894805487,0.0,5051.764456474929,467.1218993160397,7597.288484773366,10.101008597228374,0.861027948038265,0.0,26.644327302083127,2.4637230976583675,40.07008694500762,16.870708706456117,0.0,45.238798945694576,0.9795053936883297,0.0,119.33039698558979,37.65002508487242,203.19872640983453,0.23860126026208173,0.005166167688229587,0.0,0.6293797309366541,0.19857608167125743,1.0717232405582113
