Scenario,Elevation,GlazingSystem,FanEnergy(kBtu),HeatingEnergy(kBtu),CoolingEnergy(kBtu),LightingEnergy(kBtu),AnnualEnergy(kBtu),FanEnergy(kBtu/sf),HeatingEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),LightingEnergy(kBtu/sf),EUI(kBtu/sf),CO2_Electric(lb/sf),CO2_Gas(lb/sf),FanCost($),HeatingCost($),CoolingCost($),LightingCost($),AnnualCost($),FanCost($/sf),HeatingCost($/sf),CoolingCost($/sf),LightingCost($/sf),AnnualCost($/sf)
Eclear,E,Clear,2211.4457700415687,19732.64927257527,8226.262280213077,517.3818755319852,30687.739198361658,10.53069414305474,93.96499653607303,39.172677524824024,2.463723216819092,146.13209142076653,15.462326923824854,13.686941395444759,82.47144854071973,124.14796289841068,306.7820045672258,65.83632627957527,579.2377422859036,0.3927211835272333,0.5911807757067078,1.4608666884153347,0.31350631561701475,2.7582749632663
Eexist,E,Exist,2363.4060891197364,22619.761090132564,8701.344871157182,517.3818755319852,34201.89392594132,11.254314710093901,107.71314804824902,41.4349755769387,2.463723216819092,162.86616155209646,16.347353202542354,15.6894971447082,88.13850481895608,142.31222689857015,324.4992599403562,65.83632627957527,620.7863179374322,0.4197071658045371,0.6776772709455682,1.545234571144571,0.31350631561701475,2.956125323511667
Elowe,E,Lowe,1919.1062360520916,17748.324388885827,7292.476596620851,517.3818755319852,27477.289097090816,9.138601124058061,84.51583042326689,34.72607903152845,2.463723216819092,130.84423379566647,13.731738759581406,12.31057585945305,71.56923010948243,111.66358289267511,271.9583344615995,65.83632627957527,521.0274737433087,0.34080585766420207,0.5317313471079805,1.295039687912352,0.31350631561701475,2.4810832083015777
NWclear,NW,Clear,937.2881500960535,10342.120562355356,3846.0562745937273,517.3818755319852,15642.846862576842,4.463276905219581,49.248193154073064,18.314553688541128,2.463723216819092,74.48974696464944,7.481596549455704,7.173491814822203,34.95428759124561,65.06745151805875,143.4309791503088,65.83632627957527,309.28904453917806,0.16644898852974294,0.3098450072288479,0.6830046626205049,0.31350631561701475,1.4728049739961282
NWexist,NW,Exist,1087.1703301041464,13928.828058707864,4109.56580344902,517.3818755319852,19642.946067792916,5.1770015719247695,66.32775266051348,19.569360968804695,2.463723216819092,93.53783841805877,8.065069418537615,9.66130045253041,40.54384382779082,87.63322173136062,153.25804018133206,65.83632627957527,347.27143202003896,0.193065922989457,0.41730105586362,0.7298001913396843,0.31350631561701475,1.653673485809768
NWlowe,NW,Lowe,794.5603492610762,9538.440214027149,3230.335923443883,517.3818755319852,14080.718362263822,3.78362071076664,45.421143876319746,15.382552016398527,2.463723216819092,67.05103982030226,6.411101157797146,6.616043817024748,29.631539621857787,60.01109660655202,120.46891969434829,65.83632627957527,275.94788220232493,0.14110256962789514,0.2857671266978669,0.5736615223540298,0.31350631561701475,1.3140375342968003
SWclear,SW,Clear,1230.1712872901521,6878.982843592357,5599.969109845062,517.3818755319852,14226.505116259274,5.857958510905732,32.75706115996356,26.6665195706899,2.463723216819092,67.74526245837697,10.37050286485066,4.771393528560272,45.876778617148574,43.27912056046114,208.8396516562762,65.83632627957527,363.83187711343766,0.218460850557851,0.20609105028791105,0.9944745316965273,0.31350631561701475,1.7325327481593005
SWexist,SW,Exist,1379.4472921884314,9591.118012614696,5996.335190466943,517.3818755319852,17484.282370802113,6.568796629468709,45.67199053626056,28.55397709746239,2.463723216819092,83.25848748000844,11.140637694127951,6.652582141511719,51.44372876492371,60.34251897636517,223.62133215874107,65.83632627957527,401.2439061795973,0.24497013697583792,0.2873453284588826,1.0648634864702238,0.31350631561701475,1.910685267521977
SWlowe,SW,Lowe,1070.8953344740173,7073.164261184756,4854.619323046493,517.3818755319852,13516.060794236995,5.0995015927335965,33.68173457707014,23.117234871650002,2.463723216819092,64.36219425827063,9.0936882495084,4.9060814584960255,39.93690040516539,44.500812949243695,181.0433215723383,65.83632627957527,331.3173612063066,0.19017571621506535,0.21190863309163813,0.862111055106388,0.31350631561701475,1.5777017200300865
