,Scenario,Date_Time,Elevation,GlazingSystem,FanEnergy(kBtu),HeatingElecEnergy(kBtu),HeatingGasEnergy(kBtu),CoolingEnergy(kBtu),LightingEnergy(kBtu),FanEnergy(kBtu/sf),HeatingElecEnergy(kBtu/sf),HeatingGasEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),LightingEnergy(kBtu/sf),EUI(kBtu/sf),CO2_Electric(lb/sf),TotalEnergy(kBtu)
27151,cle_com_elec_01, 02/06  08:00:00,N,Exist,1.856859608415438,19.611957027466058,0.0,0.0,0.020249694136934435,0.005634530749250305,0.05951132461679884,0.0,0.0,6.144650018793638e-05,0.06520730186623708,0.027454230304741797,21.48906633001843
35911,cle_com_elec_02, 02/06  08:00:00,E,Exist,1.0744517627291517,20.151331401247997,0.0,0.0,0.020249694136934435,0.0032603603784832394,0.061148024279314206,0.0,0.0,6.144650018793638e-05,0.06446983115798538,0.02714373301244659,21.246032858114084
44671,cle_com_elec_03, 02/06  08:00:00,S,Exist,1.7396689851398184,19.14976137343708,0.0,0.0,0.020249694136934435,0.005278922728386644,0.058108819218440536,0.0,0.0,6.144650018793638e-05,0.06344918844701512,0.02671401181184678,20.909680052713835
53431,cle_com_elec_04, 02/06  08:00:00,W,Exist,1.5585307767101484,19.62117271019284,0.0,0.0,0.020249694136934435,0.004729269539402665,0.0595392890614257,0.0,0.0,6.144650018793638e-05,0.06433000510101632,0.0270848620476809,21.199953181039927
62191,cle_com_elec_05, 02/06  08:00:00,N,Exist_Clear,1.680863999768265,15.162749028864523,0.0,0.0,0.020249694136934435,0.005100482475400592,0.04601046587426649,0.0,0.0,6.144650018793638e-05,0.05117239484985502,0.02154511340363446,16.863862722769724
70951,cle_com_elec_06, 02/06  08:00:00,E,Exist_Clear,1.0479356063367864,15.745611924956343,0.0,0.0,0.020249694136934435,0.0031798986689024014,0.04777912888774493,0.0,0.0,6.144650018793638e-05,0.051020474056835276,0.021481150192149356,16.813797225430065
79711,cle_com_elec_07, 02/06  08:00:00,S,Exist_Clear,1.5776117959219302,14.383506718908503,0.0,0.0,0.020249694136934435,0.0047871697645939315,0.04364590113460325,0.0,0.0,6.144650018793638e-05,0.04849451739938512,0.02041764666066312,15.981368208967368
88471,cle_com_elec_08, 02/06  08:00:00,W,Exist_Clear,1.3889851810938985,15.37888053446999,0.0,0.0,0.020249694136934435,0.004214793448927017,0.04666630415557575,0.0,0.0,6.144650018793638e-05,0.050942544104690714,0.021448339344397934,16.788115409700826
97231,cle_com_elec_09, 02/06  08:00:00,N,Exist_LowE,1.3334345134822425,15.75702796512721,0.0,0.0,0.020249694136934435,0.004046228230867068,0.047813770187004126,0.0,0.0,6.144650018793638e-05,0.05192144491805914,0.02186048595385044,17.11071217274639
871,cle_com_elec_10, 02/06  08:00:00,E,Exist_LowE,0.8420158880691019,16.173464638848035,0.0,0.0,0.020249694136934435,0.0025550474527965463,0.049077422663777986,0.0,0.0,6.144650018793638e-05,0.051693916616762474,0.021764689713155504,17.035730221054074
9631,cle_com_elec_11, 02/06  08:00:00,S,Exist_LowE,1.2629169425018534,15.059379562979737,0.0,0.0,0.020249694136934435,0.003832246829014879,0.04569679733873384,0.0,0.0,6.144650018793638e-05,0.049590490667936665,0.020879084285921373,16.34254619961853
18391,cle_com_elec_12, 02/06  08:00:00,W,Exist_LowE,1.1204109324390374,15.641718505767619,0.0,0.0,0.020249694136934435,0.0033998207629769,0.04746387044687488,0.0,0.0,6.144650018793638e-05,0.05092513771003973,0.021441010730058028,16.782379132343593
